author,title,n_tokens
baum,ozma of oz,51970
baum,dorothy and the wizard in oz,53849
baum,tik-tok of oz,63742
baum,the road to oz,52866
baum,the magic of oz,51166
baum,the patchwork girl of oz,75703
baum,the wonderful wizard of oz,49686
baum,the lost princess of oz,60418
baum,the emerald city of oz,70781
baum,the tin woodman of oz,57338
baum,rinkitink in oz,62241
baum,the marvelous land of oz,54733
baum,glinda of oz,51218
baum,the scarecrow of oz,59593
thompson,the giant horse of oz,51036
thompson,the cowardly lion of oz,61666
thompson,handy mandy in oz,44778
thompson,the gnome king of oz,51687
thompson,grampa in oz,55169
thompson,captain salt in oz,61797
thompson,ozoplaning with the wizard of oz,50660
thompson,the wishing horse of oz,59490
thompson,the lost king of oz,58105
thompson,the hungry tiger of oz,53543
thompson,the silver princess in oz,47964
thompson,kabumpo in oz,62693
thompson,jack pumpkinhead of oz,49661
dickens,a christmas carol,38906
dickens,oliver twist,216100
dickens,the old curiosity shop,285895
dickens,bleak house,471630
dickens,dombey and son,482161
dickens,david copperfield,479387
dickens,a tale of two cities,181593
dickens,nicholas nickleby,446457
dickens,american notes,129214
dickens,the pickwick papers,432546
dickens,great expectations,244897
dickens,martin chuzzlewit,455995
dickens,little dorrit,449230
dickens,hard times,142759
melville,i and my chimney,15341
melville,"bartleby, the scrivener: a story of wall-street",19112
melville,israel potter: his fifty years of exile,88570
melville,omoo: adventures in the south seas,134628
melville,"mardi: and a voyage thither, vol. ii",150347
melville,the confidence-man: his masquerade,129059
melville,"white jacket; or, the world on a man-of-war",190577
melville,"mardi: and a voyage thither, vol. i",132358
melville,"moby-dick; or, the whale",285066
melville,typee,114239
wells,the red room,4944
wells,the first men in the moon,87615
wells,the island of doctor moreau,55967
wells,the open conspiracy,40271
wells,a modern utopia,105810
wells,the sleeper awakes,98228
wells,the new machiavelli,185158
wells,the war of the worlds,75727
wells,tales of space and time,94711
wells,the invisible man: a grotesque romance,65584
wells,the time machine,40184
wells,the world set free,80518
austen,sense and sensibility,153718
austen,mansfield park,201611
austen,lady susan,29043
austen,northanger abbey,98090
austen,emma,207830
austen,pride and prejudice,157777
austen,persuasion,106027
fitzgerald,the beautiful and damned,168147
fitzgerald,flappers and philosophers,84707
fitzgerald,this side of paradise,100796
fitzgerald,all the sad young men,85411
fitzgerald,tales of the jazz age,109997
fitzgerald,the pat hobby stories,51069
fitzgerald,the great gatsby,65136
fitzgerald,tender is the night,145925
twain,adventures of huckleberry finn,147655
twain,a connecticut yankee in king arthur's court,150327
twain,roughing it,208545
twain,the innocents abroad,246321
twain,"the adventures of tom sawyer, complete",95059
twain,the prince and the pauper,88409
