seed,train_author,epochs_completed,loss_dataset,loss_value
3,austen,0,baum,10.762027740478516
3,austen,0,thompson,10.83452820777893
3,austen,0,dickens,10.840518174348054
3,austen,0,melville,10.841191387176512
3,austen,0,wells,10.830647706985474
3,austen,0,austen,10.845323244730633
3,austen,0,fitzgerald,10.818219979604086
3,austen,0,twain,10.818927884101868
3,austen,1,train,10.461835193634034
3,austen,1,baum,10.324053525924684
3,austen,1,thompson,10.336740016937256
3,austen,1,dickens,10.26591032522696
3,austen,1,melville,10.303026580810547
3,austen,1,wells,10.270443439483644
3,austen,1,austen,10.224342664082846
3,austen,1,fitzgerald,10.29277276992798
3,austen,1,twain,10.311085641384125
3,austen,2,train,10.005504965782166
3,austen,2,baum,9.98471450805664
3,austen,2,thompson,9.99135136604309
3,austen,2,dickens,9.881079850373444
3,austen,2,melville,9.948562145233154
3,austen,2,wells,9.89616632461548
3,austen,2,austen,9.788613160451254
3,austen,2,fitzgerald,9.911545753479004
3,austen,2,twain,9.962143361568453
3,austen,3,train,9.57053849697113
3,austen,3,baum,9.662356853485107
3,austen,3,thompson,9.664618015289308
3,austen,3,dickens,9.51595369974772
3,austen,3,melville,9.618042182922364
3,austen,3,wells,9.54001760482788
3,austen,3,austen,9.374317328135172
3,austen,3,fitzgerald,9.5541410446167
3,austen,3,twain,9.627271831035614
3,austen,4,train,9.16121973991394
3,austen,4,baum,9.365428447723389
3,austen,4,thompson,9.36442255973816
3,austen,4,dickens,9.180544959174265
3,austen,4,melville,9.313771152496338
3,austen,4,wells,9.20775032043457
3,austen,4,austen,8.983583927154541
3,austen,4,fitzgerald,9.22164011001587
3,austen,4,twain,9.31606674194336
3,austen,5,train,8.78000066280365
3,austen,5,baum,9.091100215911863
3,austen,5,thompson,9.08937406539917
3,austen,5,dickens,8.870106520476165
3,austen,5,melville,9.032521533966063
3,austen,5,wells,8.901710748672485
3,austen,5,austen,8.624031066894531
3,austen,5,fitzgerald,8.915706952412924
3,austen,5,twain,9.031004905700684
3,austen,6,train,8.431741118431091
3,austen,6,baum,8.846566438674927
3,austen,6,thompson,8.84406852722168
3,austen,6,dickens,8.591239575986508
3,austen,6,melville,8.77961778640747
3,austen,6,wells,8.62400770187378
3,austen,6,austen,8.29734738667806
3,austen,6,fitzgerald,8.63850466410319
3,austen,6,twain,8.773800730705261
3,austen,7,train,8.111097431182861
3,austen,7,baum,8.629417657852173
3,austen,7,thompson,8.627533197402954
3,austen,7,dickens,8.342217198124638
3,austen,7,melville,8.554213047027588
