seed,train_author,epochs_completed,loss_dataset,loss_value
0,austen,0,baum,10.88571785975106
0,austen,0,thompson,10.886400277154488
0,austen,0,dickens,10.8838809877475
0,austen,0,melville,10.882568582069002
0,austen,0,wells,10.886971703354194
0,austen,0,austen,10.88573373104316
0,austen,0,fitzgerald,10.88481700671876
0,austen,0,twain,10.886996745639378
0,austen,1,train,
0,austen,1,baum,
0,austen,1,thompson,
0,austen,1,dickens,
0,austen,1,melville,
0,austen,1,wells,
0,austen,1,austen,
0,austen,1,fitzgerald,
0,austen,1,twain,
0,austen,2,train,
0,austen,2,baum,
0,austen,2,thompson,
0,austen,2,dickens,
0,austen,2,melville,
0,austen,2,wells,
0,austen,2,austen,
0,austen,2,fitzgerald,
0,austen,2,twain,
0,austen,3,train,
0,austen,3,baum,
0,austen,3,thompson,
0,austen,3,dickens,
0,austen,3,melville,
0,austen,3,wells,
0,austen,3,austen,
0,austen,3,fitzgerald,
0,austen,3,twain,
