seed,train_author,epochs_completed,loss_dataset,loss_value
43,austen,0,baum,10.871545185832858
43,austen,0,thompson,10.872291590204302
43,austen,0,dickens,10.86717876663554
43,austen,0,melville,10.873066537286444
43,austen,0,wells,10.875694677054163
43,austen,0,austen,10.873201010799695
43,austen,0,fitzgerald,10.869575349590448
43,austen,0,twain,10.864331484355883
43,austen,1,train,
43,austen,1,baum,
43,austen,1,thompson,
43,austen,1,dickens,
43,austen,1,melville,
43,austen,1,wells,
43,austen,1,austen,
43,austen,1,fitzgerald,
43,austen,1,twain,
43,austen,2,train,
43,austen,2,baum,
43,austen,2,thompson,
43,austen,2,dickens,
43,austen,2,melville,
43,austen,2,wells,
43,austen,2,austen,
43,austen,2,fitzgerald,
43,austen,2,twain,
43,austen,3,train,
43,austen,3,baum,
43,austen,3,thompson,
43,austen,3,dickens,
43,austen,3,melville,
43,austen,3,wells,
43,austen,3,austen,
43,austen,3,fitzgerald,
43,austen,3,twain,
