seed,train_author,epochs_completed,loss_dataset,loss_value
8,baum,0,baum,10.803682687847015
8,baum,0,thompson,10.806687841610032
8,baum,0,dickens,10.803833579317466
8,baum,0,melville,10.802848124849625
8,baum,0,wells,10.803791990467149
8,baum,0,austen,10.80316578721347
8,baum,0,fitzgerald,10.804171956615685
8,baum,0,twain,10.805600049084244
8,baum,1,train,10.72316117286682
8,baum,1,baum,10.595919511343482
8,baum,1,thompson,10.608530784139829
8,baum,1,dickens,10.59228596606423
8,baum,1,melville,10.59373977218849
8,baum,1,wells,10.588331362780403
8,baum,1,austen,10.582593601697113
8,baum,1,fitzgerald,10.599659310446846
8,baum,1,twain,10.60063459518108
8,baum,2,train,10.56086492538452
8,baum,2,baum,10.461184542086436
8,baum,2,thompson,10.479345430646624
8,baum,2,dickens,10.456625866266853
8,baum,2,melville,10.460785147072611
8,baum,2,wells,10.451461121147751
8,baum,2,austen,10.443646364342676
8,baum,2,fitzgerald,10.468235419120315
8,baum,2,twain,10.468005960432912
8,baum,3,train,10.43271312713623
8,baum,3,baum,10.363503105648835
8,baum,3,thompson,10.3855766802418
8,baum,3,dickens,10.359299399556503
8,baum,3,melville,10.366218138432156
8,baum,3,wells,10.354498729986304
8,baum,3,austen,10.345627674991135
8,baum,3,fitzgerald,10.373888895835403
8,baum,3,twain,10.372305344746186
