seed,train_author,epochs_completed,loss_dataset,loss_value
5,baum,0,baum,10.831587369717544
5,baum,0,thompson,10.832059286408503
5,baum,0,dickens,10.831972656607768
5,baum,0,melville,10.83488551610733
5,baum,0,wells,10.804020530299136
5,baum,0,austen,10.8376995030016
5,baum,0,fitzgerald,10.83133117807736
5,baum,0,twain,10.833615068127129
5,baum,1,train,10.795321035385133
5,baum,1,baum,10.720769196898496
5,baum,1,thompson,10.716224751230014
5,baum,1,dickens,10.725502356275443
5,baum,1,melville,10.722684674243215
5,baum,1,wells,10.697371583235892
5,baum,1,austen,10.729103522725625
5,baum,1,fitzgerald,10.718953480510592
5,baum,1,twain,10.724467270514545
5,baum,2,train,10.69402995109558
5,baum,2,baum,10.6312594006409
5,baum,2,thompson,10.623449632676982
5,baum,2,dickens,10.63900701046549
5,baum,2,melville,10.63253720271637
5,baum,2,wells,10.612276027077122
5,baum,2,austen,10.640883549605263
5,baum,2,fitzgerald,10.62834642218344
5,baum,2,twain,10.636622679584166
5,baum,3,train,10.630836915969848
5,baum,3,baum,10.582095414549862
5,baum,3,thompson,10.5731649237164
5,baum,3,dickens,10.59141928369806
5,baum,3,melville,10.584271359740452
5,baum,3,wells,10.56520918795937
5,baum,3,austen,10.592522262346629
5,baum,3,fitzgerald,10.578866046929509
5,baum,3,twain,10.588348251931807
