seed,train_author,epochs_completed,loss_dataset,loss_value
3,baum,0,baum,10.870666694641113
3,baum,0,thompson,10.871537844340006
3,baum,0,dickens,10.87685444355011
3,baum,0,melville,10.874501500810895
3,baum,0,wells,10.871848265329996
3,baum,0,austen,10.867721366882323
3,baum,0,fitzgerald,10.868911425272625
3,baum,0,twain,10.869215766588846
3,baum,1,train,9.73727731704712
3,baum,1,baum,9.260093116760254
3,baum,1,thompson,9.24420690536499
3,baum,1,dickens,9.296718835830688
3,baum,1,melville,9.2804936000279
3,baum,1,wells,9.22059154510498
3,baum,1,austen,9.226214694976807
3,baum,1,fitzgerald,9.279106352064344
3,baum,1,twain,9.206404129664104
3,baum,2,train,9.047746276855468
3,baum,2,baum,8.802312660217286
3,baum,2,thompson,8.797044595082602
3,baum,2,dickens,8.85881278514862
3,baum,2,melville,8.83410256249564
3,baum,2,wells,8.780446529388428
3,baum,2,austen,8.787216854095458
3,baum,2,fitzgerald,8.82630549536811
3,baum,2,twain,8.769476135571798
3,baum,3,train,8.591042685508729
3,baum,3,baum,8.341716194152832
3,baum,3,thompson,8.337907473246256
3,baum,3,dickens,8.401458692550658
3,baum,3,melville,8.371844359806605
3,baum,3,wells,8.327926635742188
3,baum,3,austen,8.332011127471924
3,baum,3,fitzgerald,8.368022812737358
3,baum,3,twain,8.315050482749939
3,baum,4,train,8.116133844852447
3,baum,4,baum,7.85521764755249
3,baum,4,thompson,7.850564479827881
3,baum,4,dickens,7.913247752189636
3,baum,4,melville,7.881318637302944
3,baum,4,wells,7.844680388768514
3,baum,4,austen,7.845709180831909
3,baum,4,fitzgerald,7.884196546342638
3,baum,4,twain,7.827864944934845
3,baum,5,train,7.609314084053039
3,baum,5,baum,7.340380477905273
3,baum,5,thompson,7.333268404006958
3,baum,5,dickens,7.394623208045959
3,baum,5,melville,7.361048187528338
3,baum,5,wells,7.328972816467285
3,baum,5,austen,7.327594423294068
3,baum,5,fitzgerald,7.3704514503479
3,baum,5,twain,7.308184166749318
3,baum,6,train,7.078109729290008
3,baum,6,baum,6.805681610107422
3,baum,6,thompson,6.795828262964885
3,baum,6,dickens,6.857715582847595
3,baum,6,melville,6.821343217577253
3,baum,6,wells,6.79278039932251
3,baum,6,austen,6.789938497543335
3,baum,6,fitzgerald,6.836966355641683
3,baum,6,twain,6.768220702807109
3,baum,7,train,6.534126341342926
3,baum,7,baum,6.261505889892578
3,baum,7,thompson,6.249176979064941
3,baum,7,dickens,6.312918961048126
3,baum,7,melville,6.273475204195295
3,baum,7,wells,6.246457576751709
3,baum,7,austen,6.2431236743927006
3,baum,7,fitzgerald,6.293876594967312
3,baum,7,twain,6.21857887506485
3,baum,8,train,5.98516263961792
3,baum,8,baum,5.717960929870605
3,baum,8,thompson,5.703309377034505
3,baum,8,dickens,5.770506751537323
3,baum,8,melville,5.727116039821079
3,baum,8,wells,5.700924317042033
3,baum,8,austen,5.69742488861084
3,baum,8,fitzgerald,5.752568774753147
3,baum,8,twain,5.67042060693105
3,baum,9,train,5.439657890796662
3,baum,9,baum,5.186974906921387
3,baum,9,thompson,5.170789877573649
3,baum,9,dickens,5.2419627666473385
3,baum,9,melville,5.195552791867938
3,baum,9,wells,5.167832295099895
3,baum,9,austen,5.164469242095947
3,baum,9,fitzgerald,5.223557843102349
3,baum,9,twain,5.135082006454468
3,baum,10,train,4.9142677783966064
3,baum,10,baum,4.682851028442383
3,baum,10,thompson,4.664723873138428
3,baum,10,dickens,4.740506315231324
3,baum,10,melville,4.692223378590176
3,baum,10,wells,4.660471598307292
3,baum,10,austen,4.657821702957153
3,baum,10,fitzgerald,4.721740351782905
3,baum,10,twain,4.625474750995636
3,baum,11,train,4.420945167541504
3,baum,11,baum,4.218429946899414
3,baum,11,thompson,4.197534402211507
3,baum,11,dickens,4.278617942333222
3,baum,11,melville,4.2286810534341
3,baum,11,wells,4.191470940907796
3,baum,11,austen,4.189587736129761
3,baum,11,fitzgerald,4.259621249304877
3,baum,11,twain,4.154863158861796
3,baum,12,train,3.9776090681552887
3,baum,12,baum,3.808300399780273
3,baum,12,thompson,3.784907539685568
3,baum,12,dickens,3.872808790206909
3,baum,12,melville,3.821981549263001
3,baum,12,wells,3.776726126670837
3,baum,12,austen,3.7750622749328615
3,baum,12,fitzgerald,3.85200908448961
3,baum,12,twain,3.7385798494021096
3,baum,13,train,3.5834539771080016
3,baum,13,baum,3.45528302192688
3,baum,13,thompson,3.428272088368734
3,baum,13,dickens,3.523146706819534
3,baum,13,melville,3.471529654094151
3,baum,13,wells,3.417343099912008
3,baum,13,austen,3.41698899269104
3,baum,13,fitzgerald,3.500916083653768
3,baum,13,twain,3.3784072001775107
3,baum,14,train,3.2517045378685
3,baum,14,baum,3.1575221538543703
3,baum,14,thompson,3.1285260915756226
3,baum,14,dickens,3.231057274341583
3,baum,14,melville,3.178229757717677
3,baum,14,wells,3.1152624686559043
3,baum,14,austen,3.115075421333313
3,baum,14,fitzgerald,3.2054356733957925
3,baum,14,twain,3.075238953034083
3,baum,15,train,2.9738621056079864
3,baum,15,baum,2.912733507156372
3,baum,15,thompson,2.8811986843744912
3,baum,15,dickens,2.992265897989273
3,baum,15,melville,2.9364575999123708
3,baum,15,wells,2.8656431833903
3,baum,15,austen,2.866354060173035
3,baum,15,fitzgerald,2.962198204464382
3,baum,15,twain,2.8249630630016327
3,baum,16,train,2.740628403425217
3,baum,16,baum,2.7083553314208983
3,baum,16,thompson,2.676586627960205
3,baum,16,dickens,2.7941606998443604
3,baum,16,melville,2.7373132535389493
3,baum,16,wells,2.6590441465377808
3,baum,16,austen,2.659773755073547
3,baum,16,fitzgerald,2.75923498471578
3,baum,16,twain,2.6182245711485543
3,baum,17,train,2.5450545132160185
3,baum,17,baum,2.5344544887542724
3,baum,17,thompson,2.502591927846273
3,baum,17,dickens,2.625706434249878
3,baum,17,melville,2.5676194769995555
3,baum,17,wells,2.483724276224772
3,baum,17,austen,2.485215163230896
3,baum,17,fitzgerald,2.586893902884589
3,baum,17,twain,2.4441494743029275
3,baum,18,train,2.385084080696106
3,baum,18,baum,2.390834093093872
3,baum,18,thompson,2.359422047932943
3,baum,18,dickens,2.48972470164299
3,baum,18,melville,2.4295371089662825
3,baum,18,wells,2.341495474179586
3,baum,18,austen,2.3435524463653565
3,baum,18,fitzgerald,2.4453174008263483
3,baum,18,twain,2.302572657664617
3,baum,19,train,2.2465777695178986
3,baum,19,baum,2.264788627624512
3,baum,19,thompson,2.234846591949463
3,baum,19,dickens,2.368035668134689
3,baum,19,melville,2.307142291750227
3,baum,19,wells,2.215506394704183
