seed,train_author,epochs_completed,loss_dataset,loss_value
2,dickens,0,baum,10.833935499191284
2,dickens,0,thompson,10.837441682815552
2,dickens,0,dickens,10.822891553243002
2,dickens,0,melville,10.843732595443726
2,dickens,0,wells,10.840978622436523
2,dickens,0,austen,10.820441246032717
2,dickens,0,fitzgerald,10.833437124888102
2,dickens,0,twain,10.833399931589762
2,dickens,1,train,10.477730226516725
2,dickens,1,baum,10.30935001373291
2,dickens,1,thompson,10.328762531280518
2,dickens,1,dickens,10.276399771372477
2,dickens,1,melville,10.30880077679952
2,dickens,1,wells,10.307334502538046
2,dickens,1,austen,10.301369190216064
2,dickens,1,fitzgerald,10.331847667694092
2,dickens,1,twain,10.303069432576498
2,dickens,2,train,10.05176990032196
2,dickens,2,baum,9.927652835845947
2,dickens,2,thompson,9.951642990112305
2,dickens,2,dickens,9.875934918721518
2,dickens,2,melville,9.945761521657309
2,dickens,2,wells,9.932872851689655
2,dickens,2,austen,9.91198205947876
2,dickens,2,fitzgerald,9.9486083984375
2,dickens,2,twain,9.921065171559652
2,dickens,3,train,9.641167950630187
2,dickens,3,baum,9.560303449630736
2,dickens,3,thompson,9.595212697982788
2,dickens,3,dickens,9.492133220036823
2,dickens,3,melville,9.59380292892456
2,dickens,3,wells,9.57023580869039
2,dickens,3,austen,9.537665843963625
2,dickens,3,fitzgerald,9.584145704905191
2,dickens,3,twain,9.552612781524658
2,dickens,4,train,9.25919361114502
2,dickens,4,baum,9.22336745262146
2,dickens,4,thompson,9.267665147781372
2,dickens,4,dickens,9.137176513671877
2,dickens,4,melville,9.269481738408407
2,dickens,4,wells,9.235851526260376
2,dickens,4,austen,9.191129207611084
2,dickens,4,fitzgerald,9.249936739603678
2,dickens,4,twain,9.213220437367758
2,dickens,5,train,8.90726969242096
2,dickens,5,baum,8.916627645492554
2,dickens,5,thompson,8.969382762908936
2,dickens,5,dickens,8.814147710800171
2,dickens,5,melville,8.973641077677408
2,dickens,5,wells,8.929498751958212
2,dickens,5,austen,8.872469902038574
2,dickens,5,fitzgerald,8.944662729899088
2,dickens,5,twain,8.902946472167969
2,dickens,6,train,8.575775647163391
2,dickens,6,baum,8.63806962966919
2,dickens,6,thompson,8.702073812484741
2,dickens,6,dickens,8.517732938130697
2,dickens,6,melville,8.70583963394165
2,dickens,6,wells,8.653034289677938
2,dickens,6,austen,8.581822395324707
2,dickens,6,fitzgerald,8.669259071350098
2,dickens,6,twain,8.622121651967367
2,dickens,7,train,8.27361969947815
2,dickens,7,baum,8.387866973876953
2,dickens,7,thompson,8.462714672088623
2,dickens,7,dickens,8.25157372156779
2,dickens,7,melville,8.466524998346964
2,dickens,7,wells,8.40392549832662
2,dickens,7,austen,8.318686485290527
2,dickens,7,fitzgerald,8.421711285909018
2,dickens,7,twain,8.370895226796469
2,dickens,8,train,8.004686617851258
2,dickens,8,baum,8.162398338317871
2,dickens,8,thompson,8.250213146209717
2,dickens,8,dickens,8.012556552886963
2,dickens,8,melville,8.252854188283285
2,dickens,8,wells,8.181390364964804
2,dickens,8,austen,8.084166526794434
2,dickens,8,fitzgerald,8.200759092966715
2,dickens,8,twain,8.14709440867106
2,dickens,9,train,7.761525964736938
2,dickens,9,baum,7.963704943656921
2,dickens,9,thompson,8.064799189567566
2,dickens,9,dickens,7.80021858215332
2,dickens,9,melville,8.065295735994974
2,dickens,9,wells,7.986116727193196
2,dickens,9,austen,7.875249862670898
2,dickens,9,fitzgerald,8.006790002187094
2,dickens,9,twain,7.949943780899048
2,dickens,10,train,7.560757398605347
2,dickens,10,baum,7.791237473487854
2,dickens,10,thompson,7.90276563167572
2,dickens,10,dickens,7.613272388776143
2,dickens,10,melville,7.899310668309529
2,dickens,10,wells,7.817500710487366
2,dickens,10,austen,7.6980133056640625
2,dickens,10,fitzgerald,7.838231086730957
2,dickens,10,twain,7.776143550872803
2,dickens,11,train,7.373680794239043
2,dickens,11,baum,7.645339250564575
2,dickens,11,thompson,7.767679810523987
2,dickens,11,dickens,7.453426877657573
2,dickens,11,melville,7.756538073221843
2,dickens,11,wells,7.672690073649089
2,dickens,11,austen,7.544695854187012
2,dickens,11,fitzgerald,7.6961563428243
2,dickens,11,twain,7.628074804941813
2,dickens,12,train,7.222004628181457
2,dickens,12,baum,7.519970774650574
2,dickens,12,thompson,7.651141285896301
2,dickens,12,dickens,7.315006415049235
2,dickens,12,melville,7.630938808123271
2,dickens,12,wells,7.5464790264765425
2,dickens,12,austen,7.413299560546875
2,dickens,12,fitzgerald,7.572866598765056
2,dickens,12,twain,7.498331705729167
2,dickens,13,train,7.067198586463928
2,dickens,13,baum,7.405381798744202
2,dickens,13,thompson,7.547854781150818
2,dickens,13,dickens,7.191180388132731
2,dickens,13,melville,7.521544098854065
2,dickens,13,wells,7.435730497042338
2,dickens,13,austen,7.297449111938477
2,dickens,13,fitzgerald,7.463642676671346
2,dickens,13,twain,7.386544307072957
2,dickens,14,train,6.950394475460053
2,dickens,14,baum,7.309562683105469
2,dickens,14,thompson,7.461870789527893
2,dickens,14,dickens,7.086480816205342
2,dickens,14,melville,7.426574150721232
2,dickens,14,wells,7.341557701428731
2,dickens,14,austen,7.201728105545044
2,dickens,14,fitzgerald,7.3728368282318115
2,dickens,14,twain,7.291972875595093
2,dickens,15,train,6.84607846736908
2,dickens,15,baum,7.225459456443787
2,dickens,15,thompson,7.383986711502075
2,dickens,15,dickens,6.995876510938008
2,dickens,15,melville,7.347298105557759
2,dickens,15,wells,7.263501087824504
2,dickens,15,austen,7.124659299850464
2,dickens,15,fitzgerald,7.294795513153076
2,dickens,15,twain,7.211973349253337
2,dickens,16,train,6.744577097892761
2,dickens,16,baum,7.1553685665130615
2,dickens,16,thompson,7.322460412979126
2,dickens,16,dickens,6.916654030481975
2,dickens,16,melville,7.280679384867351
2,dickens,16,wells,7.194841901461284
2,dickens,16,austen,7.054214954376221
2,dickens,16,fitzgerald,7.229063431421916
2,dickens,16,twain,7.143039703369141
2,dickens,17,train,6.674489176273346
2,dickens,17,baum,7.096763253211975
2,dickens,17,thompson,7.268215417861938
2,dickens,17,dickens,6.852227449417114
2,dickens,17,melville,7.223273158073425
2,dickens,17,wells,7.138766050338745
2,dickens,17,austen,6.998222351074219
2,dickens,17,fitzgerald,7.173861424128215
2,dickens,17,twain,7.086600383122762
2,dickens,18,train,6.614947855472565
2,dickens,18,baum,7.043938755989075
2,dickens,18,thompson,7.219630122184753
2,dickens,18,dickens,6.791086435317993
2,dickens,18,melville,7.1716063022613525
2,dickens,18,wells,7.090641140937805
2,dickens,18,austen,6.949739456176758
2,dickens,18,fitzgerald,7.124135573705037
2,dickens,18,twain,7.035160223642985
2,dickens,19,train,6.5559236884117125
2,dickens,19,baum,6.991325497627258
2,dickens,19,thompson,7.169567346572876
2,dickens,19,dickens,6.736335794130961
2,dickens,19,melville,7.124909400939941
2,dickens,19,wells,7.044692039489746
2,dickens,19,austen,6.906602621078491
2,dickens,19,fitzgerald,7.075290203094482
2,dickens,19,twain,6.988696734110515
2,dickens,20,train,6.489849042892456
2,dickens,20,baum,6.947137713432312
2,dickens,20,thompson,7.130828142166138
2,dickens,20,dickens,6.686504562695821
2,dickens,20,melville,7.084765156110128
2,dickens,20,wells,7.002731641133626
2,dickens,20,austen,6.864994049072266
2,dickens,20,fitzgerald,7.034230470657349
2,dickens,20,twain,6.9474968910217285
2,dickens,21,train,6.43628876209259
2,dickens,21,baum,6.90552031993866
2,dickens,21,thompson,7.094896554946899
2,dickens,21,dickens,6.643569389979045
2,dickens,21,melville,7.048717339833577
2,dickens,21,wells,6.966994086901347
2,dickens,21,austen,6.827493190765381
2,dickens,21,fitzgerald,6.996214707692464
2,dickens,21,twain,6.910309632619222
2,dickens,22,train,6.388743662834168
2,dickens,22,baum,6.853955268859863
2,dickens,22,thompson,7.047340989112854
2,dickens,22,dickens,6.596728841463725
2,dickens,22,melville,7.009939829508464
2,dickens,22,wells,6.929571231206258
2,dickens,22,austen,6.788583040237427
2,dickens,22,fitzgerald,6.949661493301392
2,dickens,22,twain,6.871034304300944
2,dickens,23,train,6.35309603214264
2,dickens,23,baum,6.815913915634155
2,dickens,23,thompson,7.009052753448486
2,dickens,23,dickens,6.555441935857137
2,dickens,23,melville,6.974817554155986
2,dickens,23,wells,6.89516031742096
2,dickens,23,austen,6.755405426025391
2,dickens,23,fitzgerald,6.910741488138835
2,dickens,23,twain,6.834802309672038
2,dickens,24,train,6.291248488426208
2,dickens,24,baum,6.777109503746033
2,dickens,24,thompson,6.974503993988037
2,dickens,24,dickens,6.516340851783752
2,dickens,24,melville,6.942789753278096
2,dickens,24,wells,6.864839275677999
2,dickens,24,austen,6.719470977783203
2,dickens,24,fitzgerald,6.87497075398763
2,dickens,24,twain,6.802268107732137
2,dickens,25,train,6.24122040271759
2,dickens,25,baum,6.7354114055633545
2,dickens,25,thompson,6.933647632598877
2,dickens,25,dickens,6.473612745602925
2,dickens,25,melville,6.908846259117127
2,dickens,25,wells,6.825679381688436
2,dickens,25,austen,6.679101705551148
2,dickens,25,fitzgerald,6.833895444869995
2,dickens,25,twain,6.766589085261027
2,dickens,26,train,6.185746991634369
2,dickens,26,baum,6.696269392967224
2,dickens,26,thompson,6.896335124969482
2,dickens,26,dickens,6.432129343350728
2,dickens,26,melville,6.873191912968953
2,dickens,26,wells,6.78995406627655
2,dickens,26,austen,6.639072895050049
2,dickens,26,fitzgerald,6.796975215276082
2,dickens,26,twain,6.732954978942871
2,dickens,27,train,6.15027277469635
2,dickens,27,baum,6.664971470832825
2,dickens,27,thompson,6.861608862876892
2,dickens,27,dickens,6.390432318051656
2,dickens,27,melville,6.840951442718506
2,dickens,27,wells,6.75592835744222
2,dickens,27,austen,6.599881410598755
2,dickens,27,fitzgerald,6.759467124938965
2,dickens,27,twain,6.698824485143025
2,dickens,28,train,6.119202530384063
2,dickens,28,baum,6.627954006195068
2,dickens,28,thompson,6.822275638580322
2,dickens,28,dickens,6.349729696909587
2,dickens,28,melville,6.809482177098592
2,dickens,28,wells,6.719972531000773
2,dickens,28,austen,6.562055826187134
2,dickens,28,fitzgerald,6.720987478892009
2,dickens,28,twain,6.666656494140625
2,dickens,29,train,6.0556596159935
2,dickens,29,baum,6.595975995063782
2,dickens,29,thompson,6.794722199440002
2,dickens,29,dickens,6.314463098843892
2,dickens,29,melville,6.780004580815633
2,dickens,29,wells,6.691452066103618
2,dickens,29,austen,6.533410549163818
2,dickens,29,fitzgerald,6.690175453821818
2,dickens,29,twain,6.638046820958455
2,dickens,30,train,6.007201409339904
2,dickens,30,baum,6.560204267501831
2,dickens,30,thompson,6.760586977005005
2,dickens,30,dickens,6.2748357852300005
2,dickens,30,melville,6.751177231470744
2,dickens,30,wells,6.657283186912537
2,dickens,30,austen,6.493534088134766
2,dickens,30,fitzgerald,6.654566049575806
2,dickens,30,twain,6.607618411382039
2,dickens,31,train,5.965381217002869
2,dickens,31,baum,6.524136662483215
2,dickens,31,thompson,6.72686755657196
2,dickens,31,dickens,6.234706322352092
2,dickens,31,melville,6.722692370414734
2,dickens,31,wells,6.626673738161723
2,dickens,31,austen,6.455303907394409
2,dickens,31,fitzgerald,6.618873516718547
2,dickens,31,twain,6.576447486877441
2,dickens,32,train,5.920249950885773
2,dickens,32,baum,6.495993137359619
2,dickens,32,thompson,6.696937680244446
2,dickens,32,dickens,6.20086681842804
2,dickens,32,melville,6.6987067858378095
2,dickens,32,wells,6.601210951805115
2,dickens,32,austen,6.427405834197998
2,dickens,32,fitzgerald,6.590015808741252
2,dickens,32,twain,6.551908413569133
2,dickens,33,train,5.899886250495911
2,dickens,33,baum,6.463064789772034
2,dickens,33,thompson,6.671174645423889
2,dickens,33,dickens,6.171718796094258
2,dickens,33,melville,6.672163128852844
2,dickens,33,wells,6.574579040209453
2,dickens,33,austen,6.400691509246826
2,dickens,33,fitzgerald,6.56392486890157
2,dickens,33,twain,6.527253309885661
2,dickens,34,train,5.8565988779068
2,dickens,34,baum,6.434288501739502
2,dickens,34,thompson,6.645551919937134
2,dickens,34,dickens,6.1444655656814575
2,dickens,34,melville,6.653210322062175
2,dickens,34,wells,6.550198475519816
2,dickens,34,austen,6.372356414794922
2,dickens,34,fitzgerald,6.536918083826701
2,dickens,34,twain,6.504140615463257
2,dickens,35,train,5.816398978233337
2,dickens,35,baum,6.415503144264221
2,dickens,35,thompson,6.623365163803101
2,dickens,35,dickens,6.115458488464356
2,dickens,35,melville,6.63295304775238
2,dickens,35,wells,6.528689781824748
2,dickens,35,austen,6.347363471984863
2,dickens,35,fitzgerald,6.514933268229167
2,dickens,35,twain,6.484755198160808
2,dickens,36,train,5.77456374168396
2,dickens,36,baum,6.380903601646423
2,dickens,36,thompson,6.59751296043396
2,dickens,36,dickens,6.082061131795247
2,dickens,36,melville,6.613085548082988
2,dickens,36,wells,6.507244984308879
2,dickens,36,austen,6.317181587219238
2,dickens,36,fitzgerald,6.487425168355306
2,dickens,36,twain,6.461004972457886
2,dickens,37,train,5.745162129402161
2,dickens,37,baum,6.360220909118652
2,dickens,37,thompson,6.582159996032715
2,dickens,37,dickens,6.060378313064575
2,dickens,37,melville,6.5972063938776655
2,dickens,37,wells,6.488373875617981
2,dickens,37,austen,6.295337438583374
2,dickens,37,fitzgerald,6.471602916717529
2,dickens,37,twain,6.443169355392456
2,dickens,38,train,5.718851113319397
2,dickens,38,baum,6.34292471408844
2,dickens,38,thompson,6.56320321559906
2,dickens,38,dickens,6.042552709579468
2,dickens,38,melville,6.577775359153748
2,dickens,38,wells,6.469274679819743
2,dickens,38,austen,6.278839826583862
2,dickens,38,fitzgerald,6.451377948125203
2,dickens,38,twain,6.42715859413147
2,dickens,39,train,5.7032907724380495
2,dickens,39,baum,6.3239792585372925
2,dickens,39,thompson,6.545518636703491
2,dickens,39,dickens,6.019304275512695
2,dickens,39,melville,6.562278151512146
2,dickens,39,wells,6.45077399412791
2,dickens,39,austen,6.256100177764893
2,dickens,39,fitzgerald,6.438130696614583
2,dickens,39,twain,6.412004311879476
2,dickens,40,train,5.6637408375740055
2,dickens,40,baum,6.306534171104431
2,dickens,40,thompson,6.51457953453064
2,dickens,40,dickens,5.981091539065043
2,dickens,40,melville,6.546045303344727
2,dickens,40,wells,6.431372324625651
2,dickens,40,austen,6.227095365524292
2,dickens,40,fitzgerald,6.407981952031453
2,dickens,40,twain,6.388213475545247
2,dickens,41,train,5.62831461429596
2,dickens,41,baum,6.283569574356079
2,dickens,41,thompson,6.496663689613342
2,dickens,41,dickens,5.957863966623942
2,dickens,41,melville,6.527113199234009
2,dickens,41,wells,6.418357173601787
2,dickens,41,austen,6.202321290969849
2,dickens,41,fitzgerald,6.392421325047811
2,dickens,41,twain,6.373355706532796
2,dickens,42,train,5.605588960647583
2,dickens,42,baum,6.278860807418823
2,dickens,42,thompson,6.491829872131348
2,dickens,42,dickens,5.958097219467163
2,dickens,42,melville,6.5238388776779175
2,dickens,42,wells,6.406818151473999
2,dickens,42,austen,6.203693151473999
2,dickens,42,fitzgerald,6.385833740234375
2,dickens,42,twain,6.368768374125163
2,dickens,43,train,5.584391820430755
2,dickens,43,baum,6.26591956615448
2,dickens,43,thompson,6.47457754611969
2,dickens,43,dickens,5.935343146324158
2,dickens,43,melville,6.510002215703328
2,dickens,43,wells,6.390336553255717
2,dickens,43,austen,6.174599170684815
2,dickens,43,fitzgerald,6.371078332265218
2,dickens,43,twain,6.35313351949056
2,dickens,44,train,5.543192899227142
2,dickens,44,baum,6.246867537498474
2,dickens,44,thompson,6.460751175880432
2,dickens,44,dickens,5.917788982391357
2,dickens,44,melville,6.498129407564799
2,dickens,44,wells,6.375420371691386
2,dickens,44,austen,6.164728879928589
2,dickens,44,fitzgerald,6.356771389643352
2,dickens,44,twain,6.340164661407471
2,dickens,45,train,5.501808989048004
2,dickens,45,baum,6.228059411048889
2,dickens,45,thompson,6.448196649551392
2,dickens,45,dickens,5.901055693626404
2,dickens,45,melville,6.483567873636882
2,dickens,45,wells,6.366946260134379
2,dickens,45,austen,6.150300025939941
2,dickens,45,fitzgerald,6.3451956907908125
2,dickens,45,twain,6.330481608708699
2,dickens,46,train,5.498326432704926
2,dickens,46,baum,6.206323742866516
2,dickens,46,thompson,6.423473000526428
