seed,train_author,epochs_completed,loss_dataset,loss_value
6,dickens,0,baum,10.64680985042027
6,dickens,0,thompson,10.785933494567873
6,dickens,0,dickens,10.786101427945225
6,dickens,0,melville,10.777382703927849
6,dickens,0,wells,10.776398128933376
6,dickens,0,austen,10.780850410461426
6,dickens,0,fitzgerald,10.772803579057966
6,dickens,0,twain,10.789189783732096
6,dickens,1,train,9.607218909263612
6,dickens,1,baum,9.28494371686663
6,dickens,1,thompson,9.102300071716307
6,dickens,1,dickens,9.090421199798584
6,dickens,1,melville,9.061226111191967
6,dickens,1,wells,9.08295355902778
6,dickens,1,austen,9.02640183766683
6,dickens,1,fitzgerald,9.130474635532924
6,dickens,1,twain,9.181359926859535
6,dickens,2,train,8.897813439369202
6,dickens,2,baum,8.910143852233887
6,dickens,2,thompson,8.646784400939941
6,dickens,2,dickens,8.634644031524658
6,dickens,2,melville,8.609121542710524
6,dickens,2,wells,8.635096126132542
6,dickens,2,austen,8.590627352396647
6,dickens,2,fitzgerald,8.679433822631836
6,dickens,2,twain,8.721419843037923
6,dickens,3,train,8.447853183746338
6,dickens,3,baum,8.524311065673828
6,dickens,3,thompson,8.194209671020507
6,dickens,3,dickens,8.178218451413242
6,dickens,3,melville,8.156229165884165
6,dickens,3,wells,8.186997519599068
6,dickens,3,austen,8.147422790527344
6,dickens,3,fitzgerald,8.236150060381208
6,dickens,3,twain,8.268415133158365
6,dickens,4,train,7.976542162895202
6,dickens,4,baum,8.106995991298131
6,dickens,4,thompson,7.707957649230957
6,dickens,4,dickens,7.689176472750577
6,dickens,4,melville,7.669653379000151
6,dickens,4,wells,7.70564619700114
6,dickens,4,austen,7.6674604415893555
6,dickens,4,fitzgerald,7.759739467075893
6,dickens,4,twain,7.783421516418457
6,dickens,5,train,7.466962122917176
6,dickens,5,baum,7.662891183580671
6,dickens,5,thompson,7.191611099243164
6,dickens,5,dickens,7.170179616321217
6,dickens,5,melville,7.152711428128756
6,dickens,5,wells,7.193754302130805
6,dickens,5,austen,7.15717617670695
6,dickens,5,fitzgerald,7.254252093178885
6,dickens,5,twain,7.2686159133911135
6,dickens,6,train,6.940737199783325
6,dickens,6,baum,7.203081062861851
6,dickens,6,thompson,6.65686445236206
6,dickens,6,dickens,6.632283817638051
6,dickens,6,melville,6.618395548600417
6,dickens,6,wells,6.664002630445692
6,dickens,6,austen,6.62770954767863
6,dickens,6,fitzgerald,6.731151580810547
6,dickens,6,twain,6.735745143890381
6,dickens,7,train,6.398505318164825
6,dickens,7,baum,6.737427166530064
6,dickens,7,thompson,6.113632678985596
6,dickens,7,dickens,6.087692585858432
6,dickens,7,melville,6.074935509608342
6,dickens,7,wells,6.125666406419542
6,dickens,7,austen,6.090059280395508
6,dickens,7,fitzgerald,6.199848992483957
6,dickens,7,twain,6.195512453715007
6,dickens,8,train,5.852936172485352
6,dickens,8,baum,6.275023256029401
6,dickens,8,thompson,5.574288463592529
6,dickens,8,dickens,5.544481093233282
6,dickens,8,melville,5.53399892953726
6,dickens,8,wells,5.589979118771023
6,dickens,8,austen,5.553288618723552
6,dickens,8,fitzgerald,5.672269003731864
6,dickens,8,twain,5.658713436126709
6,dickens,9,train,5.315867590904236
6,dickens,9,baum,5.8267510277884345
6,dickens,9,thompson,5.048721981048584
6,dickens,9,dickens,5.01790015263991
6,dickens,9,melville,5.008620995741624
6,dickens,9,wells,5.068630112542047
6,dickens,9,austen,5.029960791269938
6,dickens,9,fitzgerald,5.159433909824917
6,dickens,9,twain,5.13615665435791
6,dickens,10,train,4.802654361724853
6,dickens,10,baum,5.407270159040179
6,dickens,10,thompson,4.553145885467529
6,dickens,10,dickens,4.520615241744301
6,dickens,10,melville,4.511573314666748
6,dickens,10,wells,4.57638872994317
6,dickens,10,austen,4.533481915791829
6,dickens,10,fitzgerald,4.676478590284075
6,dickens,10,twain,4.644359525044759
6,dickens,11,train,4.32032151222229
6,dickens,11,baum,5.024550097329276
6,dickens,11,thompson,4.098119640350342
6,dickens,11,dickens,4.063972473144531
6,dickens,11,melville,4.054640751618606
6,dickens,11,wells,4.123911539713542
6,dickens,11,austen,4.075500567754109
6,dickens,11,fitzgerald,4.233973503112793
6,dickens,11,twain,4.194430828094482
6,dickens,12,train,3.884524130821228
6,dickens,12,baum,4.690966435841152
6,dickens,12,thompson,3.696249008178711
6,dickens,12,dickens,3.660986824469133
6,dickens,12,melville,3.650504258962778
6,dickens,12,wells,3.724128113852607
6,dickens,12,austen,3.666730960210165
6,dickens,12,fitzgerald,3.8441888945443288
6,dickens,12,twain,3.798690287272136
6,dickens,13,train,3.5026819169521333
6,dickens,13,baum,4.405278069632394
6,dickens,13,thompson,3.3475960731506347
6,dickens,13,dickens,3.312902412631295
6,dickens,13,melville,3.299776480748103
6,dickens,13,wells,3.3769785033331976
6,dickens,13,austen,3.310749292373657
6,dickens,13,fitzgerald,3.507437467575073
6,dickens,13,twain,3.457644557952881
6,dickens,14,train,3.181633710861206
6,dickens,14,baum,4.169579267501831
6,dickens,14,thompson,3.053871297836304
6,dickens,14,dickens,3.01990253275091
6,dickens,14,melville,3.0057409359858585
6,dickens,14,wells,3.085794501834445
6,dickens,14,austen,3.0103216965993247
6,dickens,14,fitzgerald,3.2244576386043
6,dickens,14,twain,3.17254163424174
6,dickens,15,train,2.914296525716781
6,dickens,15,baum,3.97370171546936
6,dickens,15,thompson,2.812175178527832
6,dickens,15,dickens,2.777905296195637
6,dickens,15,melville,2.7642774398510275
6,dickens,15,wells,2.845933781729804
6,dickens,15,austen,2.762900114059448
6,dickens,15,fitzgerald,2.9917973450251987
6,dickens,15,twain,2.9384358565012616
6,dickens,16,train,2.6933486819267274
6,dickens,16,baum,3.807940551212856
6,dickens,16,thompson,2.612225580215454
6,dickens,16,dickens,2.578680954196237
6,dickens,16,melville,2.565188059440026
