seed,train_author,epochs_completed,loss_dataset,loss_value
1,fitzgerald,0,baum,10.84550428390503
1,fitzgerald,0,thompson,10.823627710342407
1,fitzgerald,0,dickens,10.838850339253744
1,fitzgerald,0,melville,10.807480388217504
1,fitzgerald,0,wells,10.845176219940186
1,fitzgerald,0,austen,10.845844586690268
1,fitzgerald,0,fitzgerald,10.835767337254117
1,fitzgerald,0,twain,10.81751424074173
1,fitzgerald,1,train,10.485560965538024
1,fitzgerald,1,baum,10.252536535263062
1,fitzgerald,1,thompson,10.308425188064575
1,fitzgerald,1,dickens,10.268529256184896
1,fitzgerald,1,melville,10.336741341484917
1,fitzgerald,1,wells,10.260143597920736
1,fitzgerald,1,austen,10.2854323387146
1,fitzgerald,1,fitzgerald,10.253902980259486
1,fitzgerald,1,twain,10.32334965467453
1,fitzgerald,2,train,10.060955882072449
1,fitzgerald,2,baum,9.860092401504517
1,fitzgerald,2,thompson,9.940609216690063
1,fitzgerald,2,dickens,9.877262433369957
1,fitzgerald,2,melville,9.993778440687391
1,fitzgerald,2,wells,9.875833829243978
1,fitzgerald,2,austen,9.890615463256836
1,fitzgerald,2,fitzgerald,9.858593259538925
1,fitzgerald,2,twain,9.965065836906431
1,fitzgerald,3,train,9.672648930549622
1,fitzgerald,3,baum,9.49205994606018
1,fitzgerald,3,thompson,9.596066951751707
1,fitzgerald,3,dickens,9.502923647562662
1,fitzgerald,3,melville,9.670754220750595
1,fitzgerald,3,wells,9.512768745422363
1,fitzgerald,3,austen,9.51584498087565
1,fitzgerald,3,fitzgerald,9.48690264565604
1,fitzgerald,3,twain,9.624580562114716
1,fitzgerald,4,train,9.312068462371826
1,fitzgerald,4,baum,9.150134086608888
1,fitzgerald,4,thompson,9.280638933181764
1,fitzgerald,4,dickens,9.154648780822754
1,fitzgerald,4,melville,9.37428813510471
1,fitzgerald,4,wells,9.17917537689209
1,fitzgerald,4,austen,9.167159875233969
1,fitzgerald,4,fitzgerald,9.142258780343193
1,fitzgerald,4,twain,9.31234586238861
1,fitzgerald,5,train,8.972785305976867
1,fitzgerald,5,baum,8.835885763168335
1,fitzgerald,5,thompson,8.991780281066895
1,fitzgerald,5,dickens,8.831435521443685
1,fitzgerald,5,melville,9.10483561621772
1,fitzgerald,5,wells,8.871896743774414
1,fitzgerald,5,austen,8.845523993174234
1,fitzgerald,5,fitzgerald,8.82681669507708
1,fitzgerald,5,twain,9.026861667633057
1,fitzgerald,6,train,8.661173176765441
1,fitzgerald,6,baum,8.548624515533447
1,fitzgerald,6,thompson,8.73056435585022
1,fitzgerald,6,dickens,8.542250951131185
1,fitzgerald,6,melville,8.861688613891602
1,fitzgerald,6,wells,8.59413480758667
1,fitzgerald,6,austen,8.552582105000814
1,fitzgerald,6,fitzgerald,8.539652143205915
1,fitzgerald,6,twain,8.769961595535278
1,fitzgerald,7,train,8.384788727760315
1,fitzgerald,7,baum,8.28984546661377
1,fitzgerald,7,thompson,8.497325658798218
1,fitzgerald,7,dickens,8.280752499898275
1,fitzgerald,7,melville,8.64475260840522
1,fitzgerald,7,wells,8.343444347381592
1,fitzgerald,7,austen,8.289943059285482
1,fitzgerald,7,fitzgerald,8.280648503984724
1,fitzgerald,7,twain,8.540571987628937
1,fitzgerald,8,train,8.119467580318451
1,fitzgerald,8,baum,8.056000232696533
1,fitzgerald,8,thompson,8.289563417434692
1,fitzgerald,8,dickens,8.046873887379965
1,fitzgerald,8,melville,8.451691627502441
1,fitzgerald,8,wells,8.117386817932129
1,fitzgerald,8,austen,8.051522334416708
1,fitzgerald,8,fitzgerald,8.048153400421143
1,fitzgerald,8,twain,8.33559137582779
1,fitzgerald,9,train,7.897480571269989
1,fitzgerald,9,baum,7.846540927886963
1,fitzgerald,9,thompson,8.105834722518921
1,fitzgerald,9,dickens,7.838635126749675
1,fitzgerald,9,melville,8.281373765733507
1,fitzgerald,9,wells,7.91658886273702
1,fitzgerald,9,austen,7.841473817825317
1,fitzgerald,9,fitzgerald,7.841042995452881
1,fitzgerald,9,twain,8.154992818832397
1,fitzgerald,10,train,7.69505854845047
1,fitzgerald,10,baum,7.662432551383972
1,fitzgerald,10,thompson,7.94379723072052
1,fitzgerald,10,dickens,7.656676769256592
1,fitzgerald,10,melville,8.133284833696154
1,fitzgerald,10,wells,7.73764952023824
1,fitzgerald,10,austen,7.655046383539836
1,fitzgerald,10,fitzgerald,7.656724657331194
1,fitzgerald,10,twain,7.996866762638092
1,fitzgerald,11,train,7.514030992984772
1,fitzgerald,11,baum,7.50016987323761
1,fitzgerald,11,thompson,7.804068088531494
1,fitzgerald,11,dickens,7.49569829305013
1,fitzgerald,11,melville,8.004238976372612
1,fitzgerald,11,wells,7.579786539077759
1,fitzgerald,11,austen,7.493815263112386
1,fitzgerald,11,fitzgerald,7.494496549878802
1,fitzgerald,11,twain,7.86040461063385
1,fitzgerald,12,train,7.363954532146454
1,fitzgerald,12,baum,7.359171986579895
1,fitzgerald,12,thompson,7.683637499809265
1,fitzgerald,12,dickens,7.35910177230835
1,fitzgerald,12,melville,7.892561912536621
1,fitzgerald,12,wells,7.441534201304118
1,fitzgerald,12,austen,7.35323150952657
1,fitzgerald,12,fitzgerald,7.353345462254116
1,fitzgerald,12,twain,7.741480827331543
1,fitzgerald,13,train,7.235954606533051
1,fitzgerald,13,baum,7.236282825469971
1,fitzgerald,13,thompson,7.579267024993896
1,fitzgerald,13,dickens,7.237372239430745
1,fitzgerald,13,melville,7.795372592078315
1,fitzgerald,13,wells,7.320935567220052
1,fitzgerald,13,austen,7.231492201487224
1,fitzgerald,13,fitzgerald,7.230999674115862
1,fitzgerald,13,twain,7.638281315565109
1,fitzgerald,14,train,7.113193511962891
1,fitzgerald,14,baum,7.126888632774353
1,fitzgerald,14,thompson,7.489138841629028
1,fitzgerald,14,dickens,7.133171558380127
1,fitzgerald,14,melville,7.711887041727702
1,fitzgerald,14,wells,7.212497075398763
1,fitzgerald,14,austen,7.126270055770874
1,fitzgerald,14,fitzgerald,7.121586390904018
1,fitzgerald,14,twain,7.548705011606216
1,fitzgerald,15,train,6.999251544475555
1,fitzgerald,15,baum,7.034749865531921
1,fitzgerald,15,thompson,7.413085341453552
1,fitzgerald,15,dickens,7.043631712595622
1,fitzgerald,15,melville,7.644128587510851
1,fitzgerald,15,wells,7.121565739313762
1,fitzgerald,15,austen,7.036750157674153
1,fitzgerald,15,fitzgerald,7.028096880231585
1,fitzgerald,15,twain,7.477049618959427
1,fitzgerald,16,train,6.926238811016082
1,fitzgerald,16,baum,6.95516312122345
1,fitzgerald,16,thompson,7.345946669578552
1,fitzgerald,16,dickens,6.971052487691243
1,fitzgerald,16,melville,7.583727359771728
1,fitzgerald,16,wells,7.03916597366333
1,fitzgerald,16,austen,6.962350368499756
