seed,train_author,epochs_completed,loss_dataset,loss_value
1,fitzgerald,0,baum,10.923681362815524
1,fitzgerald,0,thompson,10.92052666653077
1,fitzgerald,0,dickens,10.924922494001168
1,fitzgerald,0,melville,10.926000541154515
1,fitzgerald,0,wells,10.93117618560791
1,fitzgerald,0,austen,10.933363465087057
1,fitzgerald,0,fitzgerald,10.924571120365156
1,fitzgerald,0,twain,10.92292783615437
1,fitzgerald,1,train,
1,fitzgerald,1,baum,
1,fitzgerald,1,thompson,
1,fitzgerald,1,dickens,
1,fitzgerald,1,melville,
1,fitzgerald,1,wells,
1,fitzgerald,1,austen,
1,fitzgerald,1,fitzgerald,
1,fitzgerald,1,twain,
1,fitzgerald,2,train,
1,fitzgerald,2,baum,
1,fitzgerald,2,thompson,
1,fitzgerald,2,dickens,
1,fitzgerald,2,melville,
1,fitzgerald,2,wells,
1,fitzgerald,2,austen,
1,fitzgerald,2,fitzgerald,
1,fitzgerald,2,twain,
1,fitzgerald,3,train,
1,fitzgerald,3,baum,
1,fitzgerald,3,thompson,
1,fitzgerald,3,dickens,
1,fitzgerald,3,melville,
1,fitzgerald,3,wells,
1,fitzgerald,3,austen,
1,fitzgerald,3,fitzgerald,
1,fitzgerald,3,twain,
