seed,train_author,epochs_completed,loss_dataset,loss_value
8,fitzgerald,0,baum,10.756707032521566
8,fitzgerald,0,thompson,10.74308168888092
8,fitzgerald,0,dickens,10.752326431274414
8,fitzgerald,0,melville,10.752666248994714
8,fitzgerald,0,wells,10.745082037789482
8,fitzgerald,0,austen,10.762428457086736
8,fitzgerald,0,fitzgerald,10.757986450195313
8,fitzgerald,0,twain,10.758892365864344
8,fitzgerald,1,train,9.30612337589264
8,fitzgerald,1,baum,8.804449717203775
8,fitzgerald,1,thompson,8.713927865028381
8,fitzgerald,1,dickens,8.780242481231689
8,fitzgerald,1,melville,8.793740328620462
8,fitzgerald,1,wells,8.83686910356794
8,fitzgerald,1,austen,8.880851225419478
8,fitzgerald,1,fitzgerald,8.802923488616944
8,fitzgerald,1,twain,8.754274913242885
8,fitzgerald,2,train,8.607866549491883
8,fitzgerald,2,baum,8.400436401367188
8,fitzgerald,2,thompson,8.321226596832275
8,fitzgerald,2,dickens,8.387216281890868
8,fitzgerald,2,melville,8.401448249816895
8,fitzgerald,2,wells,8.44960185459682
8,fitzgerald,2,austen,8.485038410533559
8,fitzgerald,2,fitzgerald,8.399299049377442
8,fitzgerald,2,twain,8.359324489321027
8,fitzgerald,3,train,8.197959423065186
8,fitzgerald,3,baum,7.977190891901652
8,fitzgerald,3,thompson,7.913257300853729
8,fitzgerald,3,dickens,7.978328990936279
8,fitzgerald,3,melville,7.990618593552533
8,fitzgerald,3,wells,8.042202404567174
8,fitzgerald,3,austen,8.069491343064742
8,fitzgerald,3,fitzgerald,7.979164171218872
8,fitzgerald,3,twain,7.946735552379063
8,fitzgerald,4,train,7.768042147159576
8,fitzgerald,4,baum,7.529873450597127
8,fitzgerald,4,thompson,7.480162978172302
8,fitzgerald,4,dickens,7.542485704421997
8,fitzgerald,4,melville,7.553875698762781
8,fitzgerald,4,wells,7.606994765145438
8,fitzgerald,4,austen,7.62619586424394
8,fitzgerald,4,fitzgerald,7.534156560897827
8,fitzgerald,4,twain,7.5054082700184415
8,fitzgerald,5,train,7.312488007545471
8,fitzgerald,5,baum,7.058789571126302
8,fitzgerald,5,thompson,7.02168607711792
8,fitzgerald,5,dickens,7.078935661315918
8,fitzgerald,5,melville,7.09171407362994
8,fitzgerald,5,wells,7.146164008549282
8,fitzgerald,5,austen,7.157276413657448
8,fitzgerald,5,fitzgerald,7.064764642715455
8,fitzgerald,5,twain,7.0368556295122415
8,fitzgerald,6,train,6.833069980144501
8,fitzgerald,6,baum,6.573204914728801
8,fitzgerald,6,thompson,6.547359049320221
8,fitzgerald,6,dickens,6.60020414352417
8,fitzgerald,6,melville,6.614747664507697
8,fitzgerald,6,wells,6.671033723013742
8,fitzgerald,6,austen,6.675113027746027
8,fitzgerald,6,fitzgerald,6.580623912811279
8,fitzgerald,6,twain,6.554058126040867
8,fitzgerald,7,train,6.34019718170166
8,fitzgerald,7,baum,6.085153977076213
8,fitzgerald,7,thompson,6.068322241306305
8,fitzgerald,7,dickens,6.117906522750855
8,fitzgerald,7,melville,6.134688938365263
8,fitzgerald,7,wells,6.192714827401297
8,fitzgerald,7,austen,6.191373868422075
8,fitzgerald,7,fitzgerald,6.092912483215332
8,fitzgerald,7,twain,6.067153879574367
8,fitzgerald,8,train,5.855723667144775
8,fitzgerald,8,baum,5.603527148564656
8,fitzgerald,8,thompson,5.594010353088379
8,fitzgerald,8,dickens,5.640735664367676
8,fitzgerald,8,melville,5.66080098993638
8,fitzgerald,8,wells,5.72121034349714
8,fitzgerald,8,austen,5.715732834555886
8,fitzgerald,8,fitzgerald,5.611377143859864
8,fitzgerald,8,twain,5.58714667388371
8,fitzgerald,9,train,5.379376864433288
8,fitzgerald,9,baum,5.140369574228923
8,fitzgerald,9,thompson,5.135042071342468
8,fitzgerald,9,dickens,5.178722143173218
8,fitzgerald,9,melville,5.20364839890424
8,fitzgerald,9,wells,5.26756831577846
8,fitzgerald,9,austen,5.260563330216841
