seed,train_author,epochs_completed,loss_dataset,loss_value
43,fitzgerald,0,baum,10.871545185832858
43,fitzgerald,0,thompson,10.872291590204302
43,fitzgerald,0,dickens,10.86717876663554
43,fitzgerald,0,melville,10.873066537286444
43,fitzgerald,0,wells,10.875694677054163
43,fitzgerald,0,austen,10.873201010799695
43,fitzgerald,0,fitzgerald,10.869575349590448
43,fitzgerald,0,twain,10.864331484355883
43,fitzgerald,1,train,10.770926809310913
43,fitzgerald,1,baum,10.668081283569336
43,fitzgerald,1,thompson,10.671359554821292
43,fitzgerald,1,dickens,10.672520640755998
43,fitzgerald,1,melville,10.672252768697271
43,fitzgerald,1,wells,10.672170172870262
43,fitzgerald,1,austen,10.671547220108357
43,fitzgerald,1,fitzgerald,10.67461827435071
43,fitzgerald,1,twain,10.681489207059723
43,fitzgerald,2,train,10.667013025283811
43,fitzgerald,2,baum,10.623584507396384
43,fitzgerald,2,thompson,10.627014292786454
43,fitzgerald,2,dickens,10.629051027925106
43,fitzgerald,2,melville,10.627737976228808
43,fitzgerald,2,wells,10.62730531150831
43,fitzgerald,2,austen,10.626978920585842
43,fitzgerald,2,fitzgerald,10.631930019282088
43,fitzgerald,2,twain,10.640316493567845
43,fitzgerald,3,train,10.643668842315671
43,fitzgerald,3,baum,10.605212841393811
43,fitzgerald,3,thompson,10.608594711253184
43,fitzgerald,3,dickens,10.612254698530617
43,fitzgerald,3,melville,10.60982187655316
43,fitzgerald,3,wells,10.609480360494013
43,fitzgerald,3,austen,10.609894769894678
43,fitzgerald,3,fitzgerald,10.61248121382315
43,fitzgerald,3,twain,10.622852786828323
