seed,train_author,epochs_completed,loss_dataset,loss_value
5,melville,0,baum,10.80854344367981
5,melville,0,thompson,10.795865774154665
5,melville,0,dickens,10.842785135904949
5,melville,0,melville,10.821388562520346
5,melville,0,wells,10.823875109354654
5,melville,0,austen,10.84667051755465
5,melville,0,fitzgerald,10.805589539664131
5,melville,0,twain,10.735079765319824
5,melville,1,train,10.454142642021178
5,melville,1,baum,10.28208065032959
5,melville,1,thompson,10.291394710540771
5,melville,1,dickens,10.26378911336263
5,melville,1,melville,10.226918856302897
5,melville,1,wells,10.280684312184652
5,melville,1,austen,10.29242779658391
5,melville,1,fitzgerald,10.311450958251951
5,melville,1,twain,10.268562412261964
5,melville,2,train,10.061573314666749
5,melville,2,baum,9.911640405654907
5,melville,2,thompson,9.938379287719728
5,melville,2,dickens,9.875442790985108
5,melville,2,melville,9.846340709262424
5,melville,2,wells,9.906164487202965
5,melville,2,austen,9.90058869581956
5,melville,2,fitzgerald,9.950086184910363
5,melville,2,twain,9.912269973754883
5,melville,3,train,9.67735197544098
5,melville,3,baum,9.553688764572144
5,melville,3,thompson,9.596286058425903
5,melville,3,dickens,9.50126886367798
5,melville,3,melville,9.47764735751682
5,melville,3,wells,9.544756412506104
5,melville,3,austen,9.51926906292255
5,melville,3,fitzgerald,9.602831976754326
5,melville,3,twain,9.570385932922363
5,melville,4,train,9.32055721282959
5,melville,4,baum,9.223174810409546
5,melville,4,thompson,9.283545970916748
5,melville,4,dickens,9.152707322438555
5,melville,4,melville,9.142346382141112
5,melville,4,wells,9.20884927113851
5,melville,4,austen,9.16158155294565
5,melville,4,fitzgerald,9.279814447675433
5,melville,4,twain,9.24833164215088
5,melville,5,train,8.994440126419068
5,melville,5,baum,8.931318044662476
5,melville,5,thompson,9.004626274108887
5,melville,5,dickens,8.84085496266683
5,melville,5,melville,8.836432033114964
5,melville,5,wells,8.90551201502482
5,melville,5,austen,8.84244155883789
5,melville,5,fitzgerald,8.99316474369594
5,melville,5,twain,8.958779430389404
5,melville,6,train,8.694617891311646
5,melville,6,baum,8.665334224700928
5,melville,6,thompson,8.752004146575928
5,melville,6,dickens,8.555886427561441
5,melville,6,melville,8.558136622111002
5,melville,6,wells,8.62985865275065
5,melville,6,austen,8.550422154940092
5,melville,6,fitzgerald,8.73416028703962
5,melville,6,twain,8.696170330047607
5,melville,7,train,8.424967765808105
5,melville,7,baum,8.427199363708496
5,melville,7,thompson,8.528231382369995
5,melville,7,dickens,8.297913201649983
5,melville,7,melville,8.307165887620714
5,melville,7,wells,8.380801995595297
5,melville,7,austen,8.287196452801044
5,melville,7,fitzgerald,8.501175471714564
5,melville,7,twain,8.459390640258789
5,melville,8,train,8.180531191825867
5,melville,8,baum,8.21282434463501
5,melville,8,thompson,8.327629089355469
5,melville,8,dickens,8.065411583582561
5,melville,8,melville,8.081919511159262
5,melville,8,wells,8.157732963562012
5,melville,8,austen,8.050689477186937
5,melville,8,fitzgerald,8.294313022068568
5,melville,8,twain,8.247332763671874
5,melville,9,train,7.963791847229004
5,melville,9,baum,8.021508932113647
5,melville,9,thompson,8.150408506393433
5,melville,9,dickens,7.860506153106689
5,melville,9,melville,7.882856845855713
5,melville,9,wells,7.958178520202637
5,melville,9,austen,7.8418183693519
5,melville,9,fitzgerald,8.110375199999128
5,melville,9,twain,8.05921287536621
5,melville,10,train,7.769565403461456
5,melville,10,baum,7.8529953956604
5,melville,10,thompson,7.994728684425354
5,melville,10,dickens,7.677555433909098
5,melville,10,melville,7.707429991828071
5,melville,10,wells,7.782482385635376
5,melville,10,austen,7.657148434565618
5,melville,10,fitzgerald,7.949456555502755
5,melville,10,twain,7.893608379364013
5,melville,11,train,7.613803780078888
5,melville,11,baum,7.707375884056091
5,melville,11,thompson,7.861535549163818
5,melville,11,dickens,7.518209934234619
5,melville,11,melville,7.551521407233344
5,melville,11,wells,7.629186630249023
5,melville,11,austen,7.497936212099516
5,melville,11,fitzgerald,7.810341085706439
5,melville,11,twain,7.7512894630432125
5,melville,12,train,7.454725217819214
5,melville,12,baum,7.578891277313232
5,melville,12,thompson,7.744456887245178
5,melville,12,dickens,7.38090550104777
5,melville,12,melville,7.418017228444417
5,melville,12,wells,7.494593858718872
5,melville,12,austen,7.361244458418626
5,melville,12,fitzgerald,7.689005783626011
5,melville,12,twain,7.627949666976929
5,melville,13,train,7.330768990516662
5,melville,13,baum,7.466940402984619
5,melville,13,thompson,7.644668221473694
5,melville,13,dickens,7.262228425343832
5,melville,13,melville,7.302669631110297
5,melville,13,wells,7.380286852518718
5,melville,13,austen,7.24605365899893
5,melville,13,fitzgerald,7.585912431989398
5,melville,13,twain,7.525241804122925
5,melville,14,train,7.213702690601349
5,melville,14,baum,7.368910908699036
5,melville,14,thompson,7.557753562927246
5,melville,14,dickens,7.15885952313741
5,melville,14,melville,7.200747489929199
5,melville,14,wells,7.278915723164876
5,melville,14,austen,7.145798793205848
5,melville,14,fitzgerald,7.495446954454694
5,melville,14,twain,7.435952949523926
5,melville,15,train,7.117725670337677
5,melville,15,baum,7.28618586063385
5,melville,15,thompson,7.484097361564636
5,melville,15,dickens,7.069950469334921
5,melville,15,melville,7.1133574379815
5,melville,15,wells,7.193873961766561
5,melville,15,austen,7.060958385467529
5,melville,15,fitzgerald,7.420910903385708
5,melville,15,twain,7.362862634658813
5,melville,16,train,7.045460784435273
5,melville,16,baum,7.215597748756409
5,melville,16,thompson,7.424264430999756
5,melville,16,dickens,6.996995385487875
5,melville,16,melville,7.040184338887532
5,melville,16,wells,7.121081511179606
5,melville,16,austen,6.9906492966872
5,melville,16,fitzgerald,7.359471184866769
5,melville,16,twain,7.303537702560424
5,melville,17,train,6.976133918762207
5,melville,17,baum,7.155474901199341
5,melville,17,thompson,7.372029066085815
5,melville,17,dickens,6.933970006306966
5,melville,17,melville,6.978540314568414
5,melville,17,wells,7.062091032663981
5,melville,17,austen,6.93155285028311
5,melville,17,fitzgerald,7.30740601675851
5,melville,17,twain,7.255974769592285
5,melville,18,train,6.906754720211029
5,melville,18,baum,7.101209402084351
5,melville,18,thompson,7.326446771621704
5,melville,18,dickens,6.876338497797648
5,melville,18,melville,6.921268410152859
5,melville,18,wells,7.008651256561279
5,melville,18,austen,6.878816311176006
5,melville,18,fitzgerald,7.261422497885568
5,melville,18,twain,7.214411449432373
5,melville,19,train,6.859820818901062
5,melville,19,baum,7.053202629089356
5,melville,19,thompson,7.286992430686951
5,melville,19,dickens,6.829037300745646
5,melville,19,melville,6.871701717376709
5,melville,19,wells,6.962720950444539
5,melville,19,austen,6.83434090247521
5,melville,19,fitzgerald,7.222911289760044
5,melville,19,twain,7.183619356155395
5,melville,20,train,6.815861964225769
5,melville,20,baum,7.012361764907837
5,melville,20,thompson,7.252713322639465
5,melville,20,dickens,6.786556625366211
5,melville,20,melville,6.827174027760823
5,melville,20,wells,6.921119848887126
5,melville,20,austen,6.79671390240009
5,melville,20,fitzgerald,7.1908794811793735
5,melville,20,twain,7.154103755950928
5,melville,21,train,6.7611430287361145
5,melville,21,baum,6.971390128135681
5,melville,21,thompson,7.217645049095154
5,melville,21,dickens,6.74289174079895
5,melville,21,melville,6.783131811353895
5,melville,21,wells,6.877341111501058
5,melville,21,austen,6.75378311597384
5,melville,21,fitzgerald,7.156302656446185
5,melville,21,twain,7.122926139831543
5,melville,22,train,6.71792072057724
5,melville,22,baum,6.924095869064331
5,melville,22,thompson,7.1800776720047
5,melville,22,dickens,6.699033244450887
5,melville,22,melville,6.740264945560032
5,melville,22,wells,6.835325717926025
5,melville,22,austen,6.709923597482534
5,melville,22,fitzgerald,7.1200471605573386
5,melville,22,twain,7.091567945480347
5,melville,23,train,6.687594616413117
5,melville,23,baum,6.886377096176148
5,melville,23,thompson,7.148552656173706
5,melville,23,dickens,6.660706345240275
5,melville,23,melville,6.6994338565402565
5,melville,23,wells,6.80019481976827
5,melville,23,austen,6.673226136427659
5,melville,23,fitzgerald,7.090713705335345
5,melville,23,twain,7.0714984893798825
5,melville,24,train,6.655183827877044
5,melville,24,baum,6.850003004074097
5,melville,24,thompson,7.1151955127716064
5,melville,24,dickens,6.622031195958456
5,melville,24,melville,6.660145706600613
5,melville,24,wells,6.76406200726827
5,melville,24,austen,6.636540963099553
5,melville,24,fitzgerald,7.059146881103516
5,melville,24,twain,7.044648218154907
5,melville,25,train,6.611441934108735
5,melville,25,baum,6.814725279808044
5,melville,25,thompson,7.085967421531677
5,melville,25,dickens,6.583215713500977
5,melville,25,melville,6.621875762939453
5,melville,25,wells,6.730045557022095
5,melville,25,austen,6.598538141984206
5,melville,25,fitzgerald,7.030528341020856
5,melville,25,twain,7.023228359222412
5,melville,26,train,6.567765951156616
