seed,train_author,epochs_completed,loss_dataset,loss_value
1,melville,0,baum,10.800449583265516
1,melville,0,thompson,10.80440104007721
1,melville,0,dickens,10.807319482167562
1,melville,0,melville,10.810380140940348
1,melville,0,wells,10.809378896440778
1,melville,0,austen,10.796372731526692
1,melville,0,fitzgerald,10.81082534790039
1,melville,0,twain,10.799435324139065
1,melville,1,train,9.399148893356324
1,melville,1,baum,8.865438567267525
1,melville,1,thompson,8.96251916885376
1,melville,1,dickens,8.891552766164144
1,melville,1,melville,8.932678169674343
1,melville,1,wells,8.88708850315639
1,melville,1,austen,8.781525802612304
1,melville,1,fitzgerald,8.9383456548055
1,melville,1,twain,8.84837728076511
1,melville,2,train,8.743125247955323
1,melville,2,baum,8.475964334275988
1,melville,2,thompson,8.585849285125732
1,melville,2,dickens,8.500645478566488
1,melville,2,melville,8.544965797000462
1,melville,2,wells,8.500359603336879
1,melville,2,austen,8.385944048563639
1,melville,2,fitzgerald,8.553752263387045
1,melville,2,twain,8.461788362926907
1,melville,3,train,8.400401496887207
1,melville,3,baum,8.137328465779623
1,melville,3,thompson,8.255598902702332
1,melville,3,dickens,8.161646048227945
1,melville,3,melville,8.20735247929891
1,melville,3,wells,8.165153844015938
1,melville,3,austen,8.046570714314779
1,melville,3,fitzgerald,8.217855834960938
1,melville,3,twain,8.129484441545275
1,melville,4,train,8.037577199935914
1,melville,4,baum,7.787461386786567
1,melville,4,thompson,7.915422141551971
1,melville,4,dickens,7.810932636260986
1,melville,4,melville,7.859491242302789
1,melville,4,wells,7.818949835641043
1,melville,4,austen,7.695541636149088
1,melville,4,fitzgerald,7.871638997395833
1,melville,4,twain,7.78684749868181
1,melville,5,train,7.680738413333893
1,melville,5,baum,7.428175131479899
1,melville,5,thompson,7.566892623901367
1,melville,5,dickens,7.449907700220744
1,melville,5,melville,7.502175198660956
1,melville,5,wells,7.463376113346645
1,melville,5,austen,7.333928998311361
1,melville,5,fitzgerald,7.516254456837972
1,melville,5,twain,7.434248752064175
1,melville,6,train,7.313721811771392
1,melville,6,baum,7.061032772064209
1,melville,6,thompson,7.211920082569122
1,melville,6,dickens,7.080563465754191
1,melville,6,melville,7.137864510218303
1,melville,6,wells,7.099863903863089
1,melville,6,austen,6.963179429372151
1,melville,6,fitzgerald,7.153652826944987
1,melville,6,twain,7.072948363092211
1,melville,7,train,6.942877042293548
1,melville,7,baum,6.688881503211127
1,melville,7,thompson,6.8534135818481445
1,melville,7,dickens,6.70687739054362
1,melville,7,melville,6.770738654666477
1,melville,7,wells,6.732053279876709
1,melville,7,austen,6.586905034383138
1,melville,7,fitzgerald,6.787193012237549
1,melville,7,twain,6.7077653143141
1,melville,8,train,6.569757473468781
1,melville,8,baum,6.314241939120823
1,melville,8,thompson,6.493160724639893
1,melville,8,dickens,6.331231037775676
1,melville,8,melville,6.402040031221178
1,melville,8,wells,6.361591645649502
1,melville,8,austen,6.20663096110026
1,melville,8,fitzgerald,6.418438943227132
1,melville,8,twain,6.339013510280186
1,melville,9,train,6.20090606212616
1,melville,9,baum,5.940260940127903
1,melville,9,thompson,6.134695529937744
1,melville,9,dickens,5.958083868026733
1,melville,9,melville,6.036399735344781
1,melville,9,wells,5.99282853943961
1,melville,9,austen,5.8269630114237465
1,melville,9,fitzgerald,6.051533794403076
1,melville,9,twain,5.972377472453648
1,melville,10,train,5.831584966182708
1,melville,10,baum,5.568343321482341
1,melville,10,thompson,5.778660833835602
1,melville,10,dickens,5.586865107218425
1,melville,10,melville,5.672828329934014
1,melville,10,wells,5.624906471797398
1,melville,10,austen,5.447213172912598
1,melville,10,fitzgerald,5.686545244852701
1,melville,10,twain,5.605946077240838
1,melville,11,train,5.485767602920532
1,melville,11,baum,5.202851401435004
1,melville,11,thompson,5.429656147956848
1,melville,11,dickens,5.2219398021698
1,melville,11,melville,5.314783228768243
1,melville,11,wells,5.263157572065081
1,melville,11,austen,5.072705872853597
1,melville,11,fitzgerald,5.328706169128418
1,melville,11,twain,5.244633833567302
1,melville,12,train,5.1221776604652405
1,melville,12,baum,4.84359253777398
1,melville,12,thompson,5.088119029998779
1,melville,12,dickens,4.86351203918457
1,melville,12,melville,4.9649682309892444
1,melville,12,wells,4.908234800611224
1,melville,12,austen,4.703646437327067
1,melville,12,fitzgerald,4.978046258290608
1,melville,12,twain,4.889245788256328
1,melville,13,train,4.776086735725403
1,melville,13,baum,4.495625548892551
1,melville,13,thompson,4.758259952068329
1,melville,13,dickens,4.5158859093983965
1,melville,13,melville,4.6261288854810925
1,melville,13,wells,4.563809973852975
1,melville,13,austen,4.344400787353516
1,melville,13,fitzgerald,4.639385350545248
1,melville,13,twain,4.543829864925808
1,melville,14,train,4.414421796798706
1,melville,14,baum,4.162577364179823
1,melville,14,thompson,4.443868219852448
1,melville,14,dickens,4.184526999791463
1,melville,14,melville,4.30361270904541
1,melville,14,wells,4.234681265694754
1,melville,14,austen,3.999665943781535
1,melville,14,fitzgerald,4.31652291615804
1,melville,14,twain,4.213212794727749
1,melville,15,train,4.09698013663292
1,melville,15,baum,3.851748440000746
1,melville,15,thompson,4.151055425405502
1,melville,15,dickens,3.875547488530477
1,melville,15,melville,4.003113998307122
1,melville,15,wells,3.927634494645255
1,melville,15,austen,3.676945988337199
1,melville,15,fitzgerald,4.016346804300944
1,melville,15,twain,3.904153287410736
1,melville,16,train,3.8221639335155486
1,melville,16,baum,3.572240538067288
1,melville,16,thompson,3.8891136050224304
1,melville,16,dickens,3.597581704457601
1,melville,16,melville,3.733022663328384
1,melville,16,wells,3.651770404406956
1,melville,16,austen,3.38614722887675
1,melville,16,fitzgerald,3.747278277079265
1,melville,16,twain,3.625846909152137
1,melville,17,train,3.5468401312828064
1,melville,17,baum,3.32727042833964
1,melville,17,thompson,3.6603691577911377
1,melville,17,dickens,3.3538138469060264
1,melville,17,melville,3.4972583982679577
1,melville,17,wells,3.4104437487466
1,melville,17,austen,3.130469783147176
1,melville,17,fitzgerald,3.512453492482503
1,melville,17,twain,3.3816672364870706
1,melville,18,train,3.3366365849971773
1,melville,18,baum,3.119123352898492
1,melville,18,thompson,3.466692328453064
1,melville,18,dickens,3.145641565322876
1,melville,18,melville,3.2967888514200845
1,melville,18,wells,3.2057071583611623
1,melville,18,austen,2.9132675329844155
1,melville,18,fitzgerald,3.312908347447713
1,melville,18,twain,3.1741772095362344
1,melville,19,train,3.1519659399986266
1,melville,19,baum,2.946122063530816
1,melville,19,thompson,3.30613175034523
1,melville,19,dickens,2.973879218101501
1,melville,19,melville,3.131035976939731
1,melville,19,wells,3.036250744547163
1,melville,19,austen,2.733589442571004
1,melville,19,fitzgerald,3.147380797068278
1,melville,19,twain,3.00340426630444
1,melville,20,train,2.991556715965271
1,melville,20,baum,2.806542264090644
1,melville,20,thompson,3.175253003835678
