seed,train_author,epochs_completed,loss_dataset,loss_value
1,melville,0,baum,10.83573831830706
1,melville,0,thompson,10.844865662711006
1,melville,0,dickens,10.823867416381836
1,melville,0,melville,10.842652257283529
1,melville,0,wells,10.840567668279013
1,melville,0,austen,10.840391332452947
1,melville,0,fitzgerald,10.843825780428372
1,melville,0,twain,10.849015610558649
1,melville,1,train,9.445710110664368
1,melville,1,baum,8.985782895769391
1,melville,1,thompson,8.882818358285087
1,melville,1,dickens,9.04256534576416
1,melville,1,melville,8.903234926859538
1,melville,1,wells,8.913267215092977
1,melville,1,austen,9.01609620180997
1,melville,1,fitzgerald,8.932583442101112
1,melville,1,twain,8.910209587642125
1,melville,2,train,8.743901038169861
1,melville,2,baum,8.580842290605817
1,melville,2,thompson,8.475038119724818
1,melville,2,dickens,8.646663284301757
1,melville,2,melville,8.49487756093343
1,melville,2,wells,8.506582419077555
1,melville,2,austen,8.605491117997603
1,melville,2,fitzgerald,8.524141311645508
1,melville,2,twain,8.499588319233485
1,melville,3,train,8.331228137016296
1,melville,3,baum,8.165483747209821
1,melville,3,thompson,8.059296335492816
1,melville,3,dickens,8.239521598815918
1,melville,3,melville,8.07773660024007
1,melville,3,wells,8.090827306111654
1,melville,3,austen,8.184793385592373
1,melville,3,fitzgerald,8.107189912062426
1,melville,3,twain,8.080753224236625
1,melville,4,train,7.894146680831909
1,melville,4,baum,7.720553534371512
1,melville,4,thompson,7.613208430153983
1,melville,4,dickens,7.802174186706543
1,melville,4,melville,7.630641587575277
1,melville,4,wells,7.6450696388880415
1,melville,4,austen,7.734935066916726
1,melville,4,fitzgerald,7.659677102015569
1,melville,4,twain,7.63154365335192
1,melville,5,train,7.434084415435791
1,melville,5,baum,7.2507524490356445
1,melville,5,thompson,7.141256059919085
1,melville,5,dickens,7.341314601898193
1,melville,5,melville,7.157945982615153
1,melville,5,wells,7.174028237660726
1,melville,5,austen,7.261385397477583
1,melville,5,fitzgerald,7.186979954059307
1,melville,5,twain,7.157120653561184
1,melville,6,train,6.95007061958313
1,melville,6,baum,6.768391268593924
1,melville,6,thompson,6.6552044323512485
1,melville,6,dickens,6.868920421600341
1,melville,6,melville,6.6713875452677405
1,melville,6,wells,6.689385851224263
1,melville,6,austen,6.775810328396884
1,melville,6,fitzgerald,6.701824408311111
1,melville,6,twain,6.66900851045336
1,melville,7,train,6.460861611366272
1,melville,7,baum,6.286568437303815
1,melville,7,thompson,6.16782454081944
1,melville,7,dickens,6.395259857177734
1,melville,7,melville,6.182042916615804
1,melville,7,wells,6.202593048413594
1,melville,7,austen,6.290398467670787
1,melville,7,fitzgerald,6.215939851907583
1,melville,7,twain,6.179008994783674
1,melville,8,train,5.9717091679573056
1,melville,8,baum,5.815624645778111
1,melville,8,thompson,5.689808368682861
1,melville,8,dickens,5.933566570281982
1,melville,8,melville,5.702431996663411
1,melville,8,wells,5.725347598393758
1,melville,8,austen,5.8170647187666455
1,melville,8,fitzgerald,5.739842598254864
1,melville,8,twain,5.698849712099348
1,melville,9,train,5.494276297092438
1,melville,9,baum,5.36338860648019
1,melville,9,thompson,5.228370938982282
1,melville,9,dickens,5.489868831634522
1,melville,9,melville,5.238151264190674
1,melville,9,wells,5.264781554539998
1,melville,9,austen,5.363959875973788
1,melville,9,fitzgerald,5.280842340909517
1,melville,9,twain,5.235166140965053
1,melville,10,train,5.040867400169373
1,melville,10,baum,4.93511404309954
1,melville,10,thompson,4.78891726902553
1,melville,10,dickens,5.07014045715332
1,melville,10,melville,4.796497249603272
1,melville,10,wells,4.826440294583638
1,melville,10,austen,4.937058362093839
1,melville,10,fitzgerald,4.843682105724628
1,melville,10,twain,4.7950544357299805
1,melville,11,train,4.603389263153076
1,melville,11,baum,4.538022109440395
1,melville,11,thompson,4.3784270967756
1,melville,11,dickens,4.680768775939941
1,melville,11,melville,4.383150831858317
1,melville,11,wells,4.417385300000508
1,melville,11,austen,4.543356115167791
1,melville,11,fitzgerald,4.435861147367037
1,melville,11,twain,4.383916241782052
1,melville,12,train,4.20774062871933
1,melville,12,baum,4.169952120099749
1,melville,12,thompson,3.9961778776986256
1,melville,12,dickens,4.321117210388183
1,melville,12,melville,3.999246660868327
1,melville,12,wells,4.037177264690399
1,melville,12,austen,4.180780410766602
1,melville,12,fitzgerald,4.05670663026663
1,melville,12,twain,4.002141467162541
1,melville,13,train,3.840550845861435
1,melville,13,baum,3.836232968739101
1,melville,13,thompson,3.647087403706142
1,melville,13,dickens,3.996808385848999
1,melville,13,melville,3.650117905934652
1,melville,13,wells,3.6913703083992
1,melville,13,austen,3.8533945733850654
1,melville,13,fitzgerald,3.711472731370193
1,melville,13,twain,3.655994611127036
1,melville,14,train,3.509564512968064
1,melville,14,baum,3.5374343735831126
1,melville,14,thompson,3.3320823396955217
1,melville,14,dickens,3.707289981842041
1,melville,14,melville,3.3362417856852216
1,melville,14,wells,3.3801217675209045
1,melville,14,austen,3.5619171532717617
1,melville,14,fitzgerald,3.4005035437070408
1,melville,14,twain,3.344781296593802
1,melville,15,train,3.2093623101711275
1,melville,15,baum,3.274014404841832
1,melville,15,thompson,3.0530973843165805
1,melville,15,dickens,3.4532870769500734
1,melville,15,melville,3.0583151817321776
1,melville,15,wells,3.1052308678627014
1,melville,15,austen,3.3063918243754995
1,melville,15,fitzgerald,3.1257056089547963
1,melville,15,twain,3.069549833025252
1,melville,16,train,2.949120503664017
1,melville,16,baum,3.047701563153948
1,melville,16,thompson,2.8120064394814626
1,melville,16,dickens,3.235726404190064
1,melville,16,melville,2.81856156984965
1,melville,16,wells,2.8682207663853965
1,melville,16,austen,3.087014523419467
1,melville,16,fitzgerald,2.888162319476788
1,melville,16,twain,2.832036920956203
1,melville,17,train,2.729616791009903
1,melville,17,baum,2.8566202436174666
1,melville,17,thompson,2.608633041381836
1,melville,17,dickens,3.0535723209381103
1,melville,17,melville,2.6172765254974366
1,melville,17,wells,2.669223189353943
1,melville,17,austen,2.9025190743533047
1,melville,17,fitzgerald,2.6883681003864
1,melville,17,twain,2.632654956408909
1,melville,18,train,2.559656488895416
1,melville,18,baum,2.697784560067313
1,melville,18,thompson,2.4397622857775008
1,melville,18,dickens,2.902666711807251
1,melville,18,melville,2.451540056864421
1,melville,18,wells,2.504950682322184
1,melville,18,austen,2.750130956823176
1,melville,18,fitzgerald,2.522029106433575
1,melville,18,twain,2.469066934926169
1,melville,19,train,2.399561804533005
1,melville,19,baum,2.5667244366237094
1,melville,19,thompson,2.301221370697021
1,melville,19,dickens,2.7788366794586183
1,melville,19,melville,2.3150343894958496
1,melville,19,wells,2.3693617582321167
1,melville,19,austen,2.62367751381614
1,melville,19,fitzgerald,2.3852211145254283
1,melville,19,twain,2.334051838942937
1,melville,20,train,2.278320318460465
1,melville,20,baum,2.459534236363002
1,melville,20,thompson,2.188139166150774
1,melville,20,dickens,2.6769811630249025
1,melville,20,melville,2.2039952278137207
1,melville,20,wells,2.2593385577201843
1,melville,20,austen,2.5207584987987173
1,melville,20,fitzgerald,2.273127189049354
1,melville,20,twain,2.224675476551056
1,melville,21,train,2.158343255519867
1,melville,21,baum,2.3695733547210693
1,melville,21,thompson,2.094642775399344
1,melville,21,dickens,2.592764043807984
1,melville,21,melville,2.113038444519043
1,melville,21,wells,2.167522817850113
1,melville,21,austen,2.4353667389262807
1,melville,21,fitzgerald,2.179805407157311
1,melville,21,twain,2.134215831756592
1,melville,22,train,2.075677663087845
1,melville,22,baum,2.298809085573469
1,melville,22,thompson,2.020530462265014
1,melville,22,dickens,2.5250139236450195
1,melville,22,melville,2.038437946637472
1,melville,22,wells,2.094350437323252
1,melville,22,austen,2.366492813283747
1,melville,22,fitzgerald,2.1055126281885
1,melville,22,twain,2.061546061720167
1,melville,23,train,2.0076198667287826
1,melville,23,baum,2.2376908574785506
1,melville,23,thompson,1.9585898603711809
1,melville,23,dickens,2.4660066604614257
1,melville,23,melville,1.976747488975525
1,melville,23,wells,2.032619963089625
1,melville,23,austen,2.308464938944036
1,melville,23,fitzgerald,2.0425962759898257
1,melville,23,twain,2.001217152391161
1,melville,24,train,1.94509166777134
1,melville,24,baum,2.187283788408552
1,melville,24,thompson,1.907914451190404
1,melville,24,dickens,2.416786813735962
1,melville,24,melville,1.9262208382288613
1,melville,24,wells,1.982286850611369
1,melville,24,austen,2.260221914811568
1,melville,24,fitzgerald,1.991166958442101
1,melville,24,twain,1.9517974725791387
1,melville,25,train,1.9005792051553727
1,melville,25,baum,2.1448746408735
1,melville,25,thompson,1.864120142800468
1,melville,25,dickens,2.3766167879104616
1,melville,25,melville,1.8822837273279829
1,melville,25,wells,1.937889794508616
1,melville,25,austen,2.219892090017145
1,melville,25,fitzgerald,1.9464652905097373
1,melville,25,twain,1.9080830471856247
1,melville,26,train,1.8585129588842395
1,melville,26,baum,2.106546333857945
1,melville,26,thompson,1.826132450784956
1,melville,26,dickens,2.3411486625671385
1,melville,26,melville,1.8461299022038773
1,melville,26,wells,1.9003985126813248
1,melville,26,austen,2.183427388017828
1,melville,26,fitzgerald,1.9085705188604505
1,melville,26,twain,1.8717910519668035
1,melville,27,train,1.817083352804184
1,melville,27,baum,2.076910904475621
1,melville,27,thompson,1.7952352251325334
1,melville,27,dickens,2.3141243696212768
1,melville,27,melville,1.8150883118311565
1,melville,27,wells,1.8686491549015043
1,melville,27,austen,2.154794974760576
1,melville,27,fitzgerald,1.875239583162161
1,melville,27,twain,1.8410454477582656
1,melville,28,train,1.7934485286474229
1,melville,28,baum,2.048590949603489
1,melville,28,thompson,1.76851487159729
1,melville,28,dickens,2.28593590259552
1,melville,28,melville,1.7874864180882772
1,melville,28,wells,1.841922014951706
1,melville,28,austen,2.126282150095159
1,melville,28,fitzgerald,1.847635736832252
1,melville,28,twain,1.8148565632956368
1,melville,29,train,1.772028034925461
1,melville,29,baum,2.021576404571533
1,melville,29,thompson,1.7435262543814525
1,melville,29,dickens,2.2612972974777223
1,melville,29,melville,1.763250223795573
1,melville,29,wells,1.816593994696935
1,melville,29,austen,2.1001299944790928
1,melville,29,fitzgerald,1.8215794288195093
1,melville,29,twain,1.7898564892155784
1,melville,30,train,1.743107834458351
1,melville,30,baum,1.9989541598728724
1,melville,30,thompson,1.7216462237494332
1,melville,30,dickens,2.2404364109039308
1,melville,30,melville,1.740584103266398
1,melville,30,wells,1.7932145595550537
1,melville,30,austen,2.077695261348377
1,melville,30,fitzgerald,1.7999516633840709
1,melville,30,twain,1.7679522378104071
1,melville,31,train,1.7130378425121306
1,melville,31,baum,1.978115166936602
1,melville,31,thompson,1.6995116301945277
1,melville,31,dickens,2.2236893653869627
1,melville,31,melville,1.7199694156646728
1,melville,31,wells,1.7717087765534718
1,melville,31,austen,2.0580662705681543
1,melville,31,fitzgerald,1.777381576024569
1,melville,31,twain,1.7474005605493272
1,melville,32,train,1.7051031351089478
1,melville,32,baum,1.9581936768123085
1,melville,32,thompson,1.6821848835263933
1,melville,32,dickens,2.204661059379577
1,melville,32,melville,1.7024031639099122
1,melville,32,wells,1.7531796197096507
1,melville,32,austen,2.0374590050090444
1,melville,32,fitzgerald,1.7586287351754994
1,melville,32,twain,1.7292813956737518
1,melville,33,train,1.6783984899520874
1,melville,33,baum,1.942466054643904
1,melville,33,thompson,1.6666160481316703
1,melville,33,dickens,2.19027898311615
1,melville,33,melville,1.6870487292607623
1,melville,33,wells,1.7384392221768696
1,melville,33,austen,2.020191723650152
1,melville,33,fitzgerald,1.7426631634051983
1,melville,33,twain,1.7147663703986578
