seed,train_author,epochs_completed,loss_dataset,loss_value
0,melville,0,baum,10.88985013961792
0,melville,0,thompson,10.883639176686604
0,melville,0,dickens,10.894494586520723
0,melville,0,melville,10.88072148958842
0,melville,0,wells,10.88239312171936
0,melville,0,austen,10.887646357218424
0,melville,0,fitzgerald,10.842287762959796
0,melville,0,twain,10.861819648742676
0,melville,1,train,9.685742568969726
0,melville,1,baum,9.202054500579834
0,melville,1,thompson,9.199838956197103
0,melville,1,dickens,9.170551617940268
0,melville,1,melville,9.202717463175455
0,melville,1,wells,9.127818822860718
0,melville,1,austen,9.120542208353678
0,melville,1,fitzgerald,9.25834248860677
0,melville,1,twain,9.27984161376953
0,melville,2,train,8.965910792350769
0,melville,2,baum,8.746987024943033
0,melville,2,thompson,8.7529509862264
0,melville,2,dickens,8.7215928501553
0,melville,2,melville,8.756274143854776
0,melville,2,wells,8.692175388336182
0,melville,2,austen,8.691445350646973
0,melville,2,fitzgerald,8.831342188517253
0,melville,2,twain,8.833019828796386
0,melville,3,train,8.521627521514892
0,melville,3,baum,8.290517012278238
0,melville,3,thompson,8.30013624827067
0,melville,3,dickens,8.26832750108507
0,melville,3,melville,8.301381746927897
0,melville,3,wells,8.249887704849243
0,melville,3,austen,8.251789093017578
0,melville,3,fitzgerald,8.399897003173828
0,melville,3,twain,8.384259223937988
0,melville,4,train,8.05142401456833
0,melville,4,baum,7.801626602808635
0,melville,4,thompson,7.816135088602702
0,melville,4,dickens,7.783234278361003
0,melville,4,melville,7.813241521517436
0,melville,4,wells,7.773241639137268
0,melville,4,austen,7.775910059611003
0,melville,4,fitzgerald,7.938076210021973
0,melville,4,twain,7.904685115814209
0,melville,5,train,7.5517258644104
0,melville,5,baum,7.285154422124227
0,melville,5,thompson,7.304659207661946
0,melville,5,dickens,7.269519938362969
0,melville,5,melville,7.297243158022563
0,melville,5,wells,7.266393661499023
0,melville,5,austen,7.269106547037761
0,melville,5,fitzgerald,7.449418290456136
0,melville,5,twain,7.397824430465699
0,melville,6,train,7.019428646564483
0,melville,6,baum,6.7491715749104815
0,melville,6,thompson,6.774021546045939
0,melville,6,dickens,6.735488918092516
0,melville,6,melville,6.762065490086873
0,melville,6,wells,6.739012956619263
0,melville,6,austen,6.742281595865886
0,melville,6,fitzgerald,6.942362467447917
0,melville,6,twain,6.872854709625244
0,melville,7,train,6.480965065956116
0,melville,7,baum,6.205149253209432
0,melville,7,thompson,6.234770218531291
0,melville,7,dickens,6.192322360144721
0,melville,7,melville,6.217210054397583
0,melville,7,wells,6.2015650272369385
0,melville,7,austen,6.203876495361328
0,melville,7,fitzgerald,6.427534580230713
0,melville,7,twain,6.340004014968872
0,melville,8,train,5.935472702980041
0,melville,8,baum,5.658905744552612
0,melville,8,thompson,5.694255669911702
0,melville,8,dickens,5.647758589850532
0,melville,8,melville,5.671771605809529
0,melville,8,wells,5.662433624267578
0,melville,8,austen,5.664781252543132
0,melville,8,fitzgerald,5.911540253957113
0,melville,8,twain,5.805505895614624
0,melville,9,train,5.391023182868958
0,melville,9,baum,5.126360336939494
0,melville,9,thompson,5.166683912277222
0,melville,9,dickens,5.115106529659695
0,melville,9,melville,5.139422337214152
0,melville,9,wells,5.133981823921204
0,melville,9,austen,5.135019779205322
0,melville,9,fitzgerald,5.408577632904053
0,melville,9,twain,5.2856653213500975
0,melville,10,train,4.867126786708832
0,melville,10,baum,4.620516061782837
0,melville,10,thompson,4.665983120600383
0,melville,10,dickens,4.608578364054362
0,melville,10,melville,4.6346895297368365
0,melville,10,wells,4.630338072776794
0,melville,10,austen,4.629163901011149
0,melville,10,fitzgerald,4.932243728637696
0,melville,10,twain,4.793627691268921
0,melville,11,train,4.376464152336121
0,melville,11,baum,4.154222408930461
0,melville,11,thompson,4.204647620519002
0,melville,11,dickens,4.141371250152588
0,melville,11,melville,4.169324556986491
0,melville,11,wells,4.164010167121887
0,melville,11,austen,4.16042423248291
0,melville,11,fitzgerald,4.495369466145833
0,melville,11,twain,4.341872930526733
0,melville,12,train,3.923119223117829
0,melville,12,baum,3.741165717442831
0,melville,12,thompson,3.79553496837616
0,melville,12,dickens,3.7255606916215687
0,melville,12,melville,3.757513165473938
0,melville,12,wells,3.74699866771698
0,melville,12,austen,3.74114187558492
0,melville,12,fitzgerald,4.110355869928996
0,melville,12,twain,3.944965147972107
0,melville,13,train,3.535961353778839
0,melville,13,baum,3.38489842414856
0,melville,13,thompson,3.4438630739847818
0,melville,13,dickens,3.367806394894918
0,melville,13,melville,3.4037059942881265
0,melville,13,wells,3.3886584043502808
0,melville,13,austen,3.379228750864665
0,melville,13,fitzgerald,3.781803512573242
0,melville,13,twain,3.605194997787476
0,melville,14,train,3.207782435417175
0,melville,14,baum,3.087839365005493
0,melville,14,thompson,3.150416890780131
0,melville,14,dickens,3.0683126184675427
0,melville,14,melville,3.109405239423116
0,melville,14,wells,3.088743805885315
0,melville,14,austen,3.075265963872274
0,melville,14,fitzgerald,3.509729766845703
0,melville,14,twain,3.323878645896912
0,melville,15,train,2.9300367653369905
0,melville,15,baum,2.8410999377568564
0,melville,15,thompson,2.9077397187550864
0,melville,15,dickens,2.820846358935038
0,melville,15,melville,2.867321530977885
0,melville,15,wells,2.841562807559967
0,melville,15,austen,2.8248369693756104
0,melville,15,fitzgerald,3.285076729456584
0,melville,15,twain,3.0914734840393066
0,melville,16,train,2.70245567560196
0,melville,16,baum,2.638659040133158
0,melville,16,thompson,2.708379109700521
0,melville,16,dickens,2.6166502634684243
0,melville,16,melville,2.6676595211029053
0,melville,16,wells,2.640391945838928
0,melville,16,austen,2.6197163263956704
0,melville,16,fitzgerald,3.1025601387023927
0,melville,16,twain,2.902131271362305
0,melville,17,train,2.512441647052765
0,melville,17,baum,2.473521669705709
0,melville,17,thompson,2.5445197423299155
0,melville,17,dickens,2.447936667336358
0,melville,17,melville,2.5034326712290444
0,melville,17,wells,2.474224865436554
0,melville,17,austen,2.4483582178751626
0,melville,17,fitzgerald,2.952867555618286
0,melville,17,twain,2.746871328353882
0,melville,18,train,2.358498936891556
0,melville,18,baum,2.3283751408259072
0,melville,18,thompson,2.4022394021352134
0,melville,18,dickens,2.303661002053155
0,melville,18,melville,2.3632802764574685
0,melville,18,wells,2.333449304103852
0,melville,18,austen,2.306338389714559
0,melville,18,fitzgerald,2.8221969604492188
0,melville,18,twain,2.610598158836365
0,melville,19,train,2.2220137059688567
0,melville,19,baum,2.210412700970968
0,melville,19,thompson,2.286458134651184
0,melville,19,dickens,2.185844381650289
0,melville,19,melville,2.249460200468699
0,melville,19,wells,2.2200076580047607
0,melville,19,austen,2.190804958343506
0,melville,19,fitzgerald,2.7171379725138345
0,melville,19,twain,2.5006075143814086
0,melville,20,train,2.1207914888858794
0,melville,20,baum,2.108439882596334
0,melville,20,thompson,2.185757120450338
0,melville,20,dickens,2.083934744199117
0,melville,20,melville,2.1490570108095803
0,melville,20,wells,2.122401177883148
0,melville,20,austen,2.091372847557068
0,melville,20,fitzgerald,2.6248012224833173
0,melville,20,twain,2.40281023979187
0,melville,21,train,2.020846298336983
0,melville,21,baum,2.0209573109944663
0,melville,21,thompson,2.10042691230774
0,melville,21,dickens,1.9968932535913253
0,melville,21,melville,2.064970036347708
0,melville,21,wells,2.04022154211998
0,melville,21,austen,2.006934960683187
0,melville,21,fitzgerald,2.5434261242548626
0,melville,21,twain,2.3183523416519165
0,melville,22,train,1.9330773919820785
0,melville,22,baum,1.9489279786745708
0,melville,22,thompson,2.0280702710151672
0,melville,22,dickens,1.9233754211001928
0,melville,22,melville,1.993309607108434
0,melville,22,wells,1.9707615673542025
0,melville,22,austen,1.9372514088948567
0,melville,22,fitzgerald,2.479739944140116
0,melville,22,twain,2.251126503944397
0,melville,23,train,1.8759294867515564
0,melville,23,baum,1.884717583656311
0,melville,23,thompson,1.9656391143798828
0,melville,23,dickens,1.8610573808352155
0,melville,23,melville,1.931964874267578
0,melville,23,wells,1.913547396659851
0,melville,23,austen,1.8815248012542725
0,melville,23,fitzgerald,2.42227041721344
0,melville,23,twain,2.1904160022735595
0,melville,24,train,1.819860365986824
0,melville,24,baum,1.826946218808492
0,melville,24,thompson,1.9104647437731423
0,melville,24,dickens,1.8047523299853008
0,melville,24,melville,1.8775858382383983
0,melville,24,wells,1.8610296547412872
0,melville,24,austen,1.8288468917210896
0,melville,24,fitzgerald,2.3712234497070312
0,melville,24,twain,2.1341227412223818
0,melville,25,train,1.7693027138710022
0,melville,25,baum,1.7796210447947185
0,melville,25,thompson,1.8630693157513936
0,melville,25,dickens,1.7583168811268275
0,melville,25,melville,1.8329834342002869
0,melville,25,wells,1.818435251712799
0,melville,25,austen,1.7868239482243855
0,melville,25,fitzgerald,2.3196486314137776
0,melville,25,twain,2.08338805437088
0,melville,26,train,1.718580314517021
0,melville,26,baum,1.7423333326975503
0,melville,26,thompson,1.825558722019196
0,melville,26,dickens,1.71806357966529
0,melville,26,melville,1.7917050818602245
0,melville,26,wells,1.7831774353981018
0,melville,26,austen,1.7522689898808796
0,melville,26,fitzgerald,2.295882042249044
0,melville,26,twain,2.05294988155365
0,melville,27,train,1.689106786251068
0,melville,27,baum,1.7010912497838335
0,melville,27,thompson,1.787442684173584
0,melville,27,dickens,1.6805271572536893
0,melville,27,melville,1.7552793423334758
0,melville,27,wells,1.7515303194522858
0,melville,27,austen,1.720274527867635
0,melville,27,fitzgerald,2.263901861508687
0,melville,27,twain,2.0149335503578185
0,melville,28,train,1.6534451514482498
0,melville,28,baum,1.669006844361623
0,melville,28,thompson,1.7576318979263306
0,melville,28,dickens,1.6494299901856315
0,melville,28,melville,1.7242466509342194
0,melville,28,wells,1.722631335258484
0,melville,28,austen,1.6932762463887532
0,melville,28,fitzgerald,2.2325289328893025
0,melville,28,twain,1.9806755185127256
0,melville,29,train,1.6235272586345673
0,melville,29,baum,1.6418748497962952
0,melville,29,thompson,1.7299349109331768
0,melville,29,dickens,1.6216588483916388
0,melville,29,melville,1.6973299980163574
0,melville,29,wells,1.6972352266311646
0,melville,29,austen,1.6690542697906494
