seed,train_author,epochs_completed,loss_dataset,loss_value
3,thompson,0,baum,10.762027740478516
3,thompson,0,thompson,10.83452820777893
3,thompson,0,dickens,10.840518174348054
3,thompson,0,melville,10.841191387176512
3,thompson,0,wells,10.830647706985474
3,thompson,0,austen,10.845323244730633
3,thompson,0,fitzgerald,10.818219979604086
3,thompson,0,twain,10.818927884101868
3,thompson,0,non_oz_baum,10.846141815185549
3,thompson,0,non_oz_thompson,10.83039665222168
3,thompson,0,contested,10.841752767562866
3,thompson,1,train,10.467946529388428
3,thompson,1,baum,10.26455855369568
3,thompson,1,thompson,10.245778322219849
3,thompson,1,dickens,10.292621930440268
3,thompson,1,melville,10.30110273361206
3,thompson,1,wells,10.256300449371338
3,thompson,1,austen,10.286678314208984
3,thompson,1,fitzgerald,10.270818869272867
3,thompson,1,twain,10.31340992450714
3,thompson,1,non_oz_baum,10.234487056732178
3,thompson,1,non_oz_thompson,10.251513957977297
3,thompson,1,contested,10.196608543395996
3,thompson,2,train,10.023838806152344
3,thompson,2,baum,9.90011501312256
3,thompson,2,thompson,9.841686248779297
3,thompson,2,dickens,9.91915370799877
3,thompson,2,melville,9.938191032409668
3,thompson,2,wells,9.874281406402588
3,thompson,2,austen,9.893112341562906
3,thompson,2,fitzgerald,9.888079961140951
3,thompson,2,twain,9.963584542274477
3,thompson,2,non_oz_baum,9.821529150009155
3,thompson,2,non_oz_thompson,9.860931396484377
3,thompson,2,contested,9.779080629348757
3,thompson,3,train,9.613719606399536
3,thompson,3,baum,9.552124738693236
3,thompson,3,thompson,9.454562187194824
3,thompson,3,dickens,9.56438848707411
3,thompson,3,melville,9.601323509216307
3,thompson,3,wells,9.50840139389038
3,thompson,3,austen,9.52035903930664
3,thompson,3,fitzgerald,9.52802801132202
3,thompson,3,twain,9.628117024898527
3,thompson,3,non_oz_baum,9.435484647750854
3,thompson,3,non_oz_thompson,9.484596729278564
3,thompson,3,contested,9.385258436203005
3,thompson,4,train,9.226227641105652
3,thompson,4,baum,9.23035192489624
3,thompson,4,thompson,9.094924449920654
3,thompson,4,dickens,9.233357217576769
3,thompson,4,melville,9.289894390106202
3,thompson,4,wells,9.168249607086182
3,thompson,4,austen,9.174870491027832
3,thompson,4,fitzgerald,9.19375483194987
3,thompson,4,twain,9.318260788917542
3,thompson,4,non_oz_baum,9.075790166854858
3,thompson,4,non_oz_thompson,9.13337469100952
3,thompson,4,contested,9.017736434936523
3,thompson,5,train,8.864089846611023
3,thompson,5,baum,8.936440706253052
3,thompson,5,thompson,8.766223192214966
3,thompson,5,dickens,8.931023527074743
3,thompson,5,melville,9.007093906402588
3,thompson,5,wells,8.85843014717102
3,thompson,5,austen,8.859746297200521
3,thompson,5,fitzgerald,8.887013912200928
3,thompson,5,twain,9.036655366420746
3,thompson,5,non_oz_baum,8.745652675628662
3,thompson,5,non_oz_thompson,8.812094688415527
3,thompson,5,contested,8.680505752563477
3,thompson,6,train,8.537122440338134
3,thompson,6,baum,8.670582294464111
3,thompson,6,thompson,8.471307516098022
3,thompson,6,dickens,8.663070113570601
3,thompson,6,melville,8.755226993560791
3,thompson,6,wells,8.579193592071533
3,thompson,6,austen,8.576337814331055
3,thompson,6,fitzgerald,8.610304196675619
3,thompson,6,twain,8.785240232944489
3,thompson,6,non_oz_baum,8.447634935379028
3,thompson,6,non_oz_thompson,8.52310037612915
3,thompson,6,contested,8.374794721603394
3,thompson,7,train,8.240092945098876
3,thompson,7,baum,8.429840803146362
3,thompson,7,thompson,8.210308313369751
3,thompson,7,dickens,8.425156063503689
3,thompson,7,melville,8.53283233642578
