seed,train_author,epochs_completed,loss_dataset,loss_value
1,thompson,0,baum,10.863923895986456
1,thompson,0,thompson,10.86696686322176
1,thompson,0,dickens,10.862307356415892
1,thompson,0,melville,10.861600590721098
1,thompson,0,wells,10.862623404271854
1,thompson,0,austen,10.861306402418348
1,thompson,0,fitzgerald,10.867332407685575
1,thompson,0,twain,10.865826521026952
1,thompson,1,train,10.854011249542236
1,thompson,1,baum,10.84295761710719
1,thompson,1,thompson,10.8447994562141
1,thompson,1,dickens,10.841808552364652
1,thompson,1,melville,10.840151384018675
1,thompson,1,wells,10.83877934876436
1,thompson,1,austen,10.84065631284552
1,thompson,1,fitzgerald,10.846245183319342
1,thompson,1,twain,10.84529612305459
1,thompson,2,train,10.835729598999023
1,thompson,2,baum,10.82532966011449
1,thompson,2,thompson,10.825928470756434
1,thompson,2,dickens,10.823930088564646
1,thompson,2,melville,10.8219775101616
1,thompson,2,wells,10.82011768388452
1,thompson,2,austen,10.824096568335696
1,thompson,2,fitzgerald,10.828546324714283
1,thompson,2,twain,10.827199743035134
1,thompson,3,train,10.821991872787477
1,thompson,3,baum,10.812426782909192
1,thompson,3,thompson,10.812168113290006
1,thompson,3,dickens,10.810560981146724
1,thompson,3,melville,10.80878040994719
1,thompson,3,wells,10.806840736673486
1,thompson,3,austen,10.811998586421184
1,thompson,3,fitzgerald,10.815616310619918
1,thompson,3,twain,10.813458991854379
