seed,train_author,epochs_completed,loss_dataset,loss_value
9,twain,0,baum,10.834795951843262
9,twain,0,thompson,10.844979763031006
9,twain,0,dickens,10.845693079630534
9,twain,0,melville,10.843740463256836
9,twain,0,wells,10.848700904846192
9,twain,0,austen,10.847991649921124
9,twain,0,fitzgerald,10.836557149887083
9,twain,0,twain,10.849951267242432
9,twain,1,train,10.49845187664032
9,twain,1,baum,10.309710264205933
9,twain,1,thompson,10.328599452972412
9,twain,1,dickens,10.293087895711263
9,twain,1,melville,10.29896640777588
9,twain,1,wells,10.27980728149414
9,twain,1,austen,10.302198336674618
9,twain,1,fitzgerald,10.34963345527649
9,twain,1,twain,10.27959410349528
9,twain,2,train,10.095559358596802
9,twain,2,baum,9.919437408447266
9,twain,2,thompson,9.94254207611084
9,twain,2,dickens,9.904189523061117
9,twain,2,melville,9.913074493408203
9,twain,2,wells,9.89341869354248
9,twain,2,austen,9.906328421372631
9,twain,2,fitzgerald,9.983570575714111
9,twain,2,twain,9.862194061279297
9,twain,3,train,9.690499806404114
9,twain,3,baum,9.553122997283936
9,twain,3,thompson,9.57430100440979
9,twain,3,dickens,9.530642445882162
9,twain,3,melville,9.545673370361328
9,twain,3,wells,9.526161575317383
9,twain,3,austen,9.527914414039024
9,twain,3,fitzgerald,9.631913423538208
9,twain,3,twain,9.46369727452596
9,twain,4,train,9.316638851165772
9,twain,4,baum,9.221550226211548
9,twain,4,thompson,9.242911100387571
9,twain,4,dickens,9.178747749328611
9,twain,4,melville,9.206271171569824
9,twain,4,wells,9.188820838928224
9,twain,4,austen,9.176246129549469
9,twain,4,fitzgerald,9.301427602767944
9,twain,4,twain,9.09417470296224
9,twain,5,train,8.98058602809906
9,twain,5,baum,8.923964500427246
9,twain,5,thompson,8.943033218383789
9,twain,5,dickens,8.857872358957927
9,twain,5,melville,8.897894859313965
9,twain,5,wells,8.881231307983398
9,twain,5,austen,8.852965868436373
9,twain,5,fitzgerald,9.004096508026123
9,twain,5,twain,8.763266563415527
9,twain,6,train,8.665134572982788
9,twain,6,baum,8.649364471435547
9,twain,6,thompson,8.668387651443481
9,twain,6,dickens,8.560899353027343
9,twain,6,melville,8.613516807556152
9,twain,6,wells,8.601512718200684
9,twain,6,austen,8.556331854600172
9,twain,6,fitzgerald,8.72405195236206
9,twain,6,twain,8.45540475845337
9,twain,7,train,8.380462408065796
9,twain,7,baum,8.404070615768433
9,twain,7,thompson,8.423844575881958
9,twain,7,dickens,8.296037324269612
9,twain,7,melville,8.358708381652832
9,twain,7,wells,8.34954376220703
9,twain,7,austen,8.29134933765118
9,twain,7,fitzgerald,8.479108333587646
9,twain,7,twain,8.178997039794922
9,twain,8,train,8.120020174980164
9,twain,8,baum,8.184669256210327
9,twain,8,thompson,8.205268621444702
9,twain,8,dickens,8.05919493039449
9,twain,8,melville,8.128860473632812
9,twain,8,wells,8.122570419311524
9,twain,8,austen,8.05288344163161
9,twain,8,fitzgerald,8.262789964675903
9,twain,8,twain,7.93004051844279
9,twain,9,train,7.897363114356994
9,twain,9,baum,7.988940954208374
9,twain,9,thompson,8.012320041656494
9,twain,9,dickens,7.844053141276041
9,twain,9,melville,7.925159931182861
9,twain,9,wells,7.920322608947754
9,twain,9,austen,7.837695085085356
9,twain,9,fitzgerald,8.06702995300293
9,twain,9,twain,7.707477331161499
9,twain,10,train,7.693567407131195
9,twain,10,baum,7.81721293926239
9,twain,10,thompson,7.844915270805359
9,twain,10,dickens,7.659051402409871
9,twain,10,melville,7.745082855224609
9,twain,10,wells,7.741154670715332
9,twain,10,austen,7.65037096463717
9,twain,10,fitzgerald,7.901540994644165
9,twain,10,twain,7.513637145360311
9,twain,11,train,7.510672235488892
9,twain,11,baum,7.666831851005554
9,twain,11,thompson,7.696848154067993
9,twain,11,dickens,7.495705286661784
9,twain,11,melville,7.586662292480469
9,twain,11,wells,7.583864307403564
9,twain,11,austen,7.487715134253869
9,twain,11,fitzgerald,7.753926634788513
9,twain,11,twain,7.340123176574707
9,twain,12,train,7.361915051937103
9,twain,12,baum,7.536031484603882
9,twain,12,thompson,7.570567965507507
9,twain,12,dickens,7.355792268117269
9,twain,12,melville,7.44967794418335
9,twain,12,wells,7.445504283905029
9,twain,12,austen,7.347661201770489
9,twain,12,fitzgerald,7.628662467002869
9,twain,12,twain,7.188999493916829
9,twain,13,train,7.237466990947723
9,twain,13,baum,7.422679781913757
9,twain,13,thompson,7.462879776954651
9,twain,13,dickens,7.236199839909871
9,twain,13,melville,7.3316755294799805
9,twain,13,wells,7.324602222442627
9,twain,13,austen,7.226705844585712
9,twain,13,fitzgerald,7.52359127998352
9,twain,13,twain,7.062577565511067
9,twain,14,train,7.105309569835663
9,twain,14,baum,7.324900031089783
9,twain,14,thompson,7.368313670158386
9,twain,14,dickens,7.13095858891805
9,twain,14,melville,7.227346897125244
9,twain,14,wells,7.220019340515137
9,twain,14,austen,7.121538125551664
9,twain,14,fitzgerald,7.428035855293274
9,twain,14,twain,6.94673768679301
9,twain,15,train,7.007397758960724
9,twain,15,baum,7.239783644676208
9,twain,15,thompson,7.28946328163147
9,twain,15,dickens,7.040794054667155
9,twain,15,melville,7.1397624015808105
9,twain,15,wells,7.129352188110351
9,twain,15,austen,7.033670425415039
9,twain,15,fitzgerald,7.348077178001404
9,twain,15,twain,6.849851528803508
9,twain,16,train,6.905888497829437
9,twain,16,baum,7.167691707611084
9,twain,16,thompson,7.220953345298767
9,twain,16,dickens,6.96730375289917
9,twain,16,melville,7.066264152526856
9,twain,16,wells,7.049648857116699
9,twain,16,austen,6.960132452157827
9,twain,16,fitzgerald,7.2821608781814575
9,twain,16,twain,6.7652842203776045
9,twain,17,train,6.833912098407746
9,twain,17,baum,7.10400652885437
9,twain,17,thompson,7.161421179771423
9,twain,17,dickens,6.902713108062744
9,twain,17,melville,7.000854015350342
9,twain,17,wells,6.98116626739502
9,twain,17,austen,6.896143546471229
9,twain,17,fitzgerald,7.228202700614929
9,twain,17,twain,6.692991892496745
9,twain,18,train,6.752822244167328
9,twain,18,baum,7.047438025474548
9,twain,18,thompson,7.110109567642212
9,twain,18,dickens,6.843891143798828
9,twain,18,melville,6.938825607299805
9,twain,18,wells,6.9206901550292965
9,twain,18,austen,6.838750289036677
9,twain,18,fitzgerald,7.180819630622864
9,twain,18,twain,6.627168655395508
9,twain,19,train,6.719015908241272
9,twain,19,baum,6.99792206287384
9,twain,19,thompson,7.066161274909973
9,twain,19,dickens,6.802589654922485
9,twain,19,melville,6.891902923583984
9,twain,19,wells,6.869674301147461
9,twain,19,austen,6.795127648573655
9,twain,19,fitzgerald,7.1422377824783325
9,twain,19,twain,6.572169144948323
9,twain,20,train,6.66287442445755
9,twain,20,baum,6.9496238231658936
9,twain,20,thompson,7.017941355705261
9,twain,20,dickens,6.753939358393351
9,twain,20,melville,6.84536075592041
9,twain,20,wells,6.819517135620117
9,twain,20,austen,6.748018154731164
9,twain,20,fitzgerald,7.100637435913086
9,twain,20,twain,6.515163977940877
9,twain,21,train,6.60286967754364
9,twain,21,baum,6.907952666282654
9,twain,21,thompson,6.974652290344238
9,twain,21,dickens,6.7131553014119465
9,twain,21,melville,6.807159900665283
9,twain,21,wells,6.776657295227051
9,twain,21,austen,6.708440487201397
9,twain,21,fitzgerald,7.065586090087891
9,twain,21,twain,6.465679248174031
9,twain,22,train,6.571409845352173
9,twain,22,baum,6.864964127540588
9,twain,22,thompson,6.934848308563232
9,twain,22,dickens,6.677829885482788
9,twain,22,melville,6.769800186157227
9,twain,22,wells,6.737523651123047
9,twain,22,austen,6.667979350456824
9,twain,22,fitzgerald,7.032602787017822
9,twain,22,twain,6.417032877604167
9,twain,23,train,6.540809154510498
9,twain,23,baum,6.82165801525116
9,twain,23,thompson,6.891091108322144
9,twain,23,dickens,6.639633989334106
9,twain,23,melville,6.730260848999023
9,twain,23,wells,6.695398902893066
9,twain,23,austen,6.630073950840877
9,twain,23,fitzgerald,7.000118970870972
9,twain,23,twain,6.375898043314616
9,twain,24,train,6.476054227352142
9,twain,24,baum,6.782641053199768
9,twain,24,thompson,6.852383732795715
9,twain,24,dickens,6.604947980244955
9,twain,24,melville,6.7005462646484375
9,twain,24,wells,6.659186840057373
9,twain,24,austen,6.592883073366606
9,twain,24,fitzgerald,6.968463182449341
9,twain,24,twain,6.3287731011708575
9,twain,25,train,6.447985196113587
9,twain,25,baum,6.743667244911194
9,twain,25,thompson,6.813262701034546
9,twain,25,dickens,6.564675076802572
9,twain,25,melville,6.663135051727295
9,twain,25,wells,6.621020793914795
9,twain,25,austen,6.553984605349028
9,twain,25,fitzgerald,6.933959364891052
9,twain,25,twain,6.282501697540283
9,twain,26,train,6.3998948097229
9,twain,26,baum,6.704607129096985
9,twain,26,thompson,6.776544809341431
9,twain,26,dickens,6.525682131449382
9,twain,26,melville,6.626325607299805
9,twain,26,wells,6.583868598937988
9,twain,26,austen,6.515603725726788
9,twain,26,fitzgerald,6.901000142097473
9,twain,26,twain,6.237858613332112
9,twain,27,train,6.3661701560020445
9,twain,27,baum,6.673395395278931
9,twain,27,thompson,6.741389036178589
9,twain,27,dickens,6.486538108189901
9,twain,27,melville,6.588189125061035
9,twain,27,wells,6.546810340881348
9,twain,27,austen,6.478968987098107
9,twain,27,fitzgerald,6.863714456558228
9,twain,27,twain,6.191991885503133
9,twain,28,train,6.313620257377624
9,twain,28,baum,6.640011787414551
9,twain,28,thompson,6.710686445236206
9,twain,28,dickens,6.452840423583984
9,twain,28,melville,6.55711555480957
9,twain,28,wells,6.516301441192627
9,twain,28,austen,6.443797845106858
9,twain,28,fitzgerald,6.8333979845047
9,twain,28,twain,6.150039911270142
9,twain,29,train,6.267172729969024
9,twain,29,baum,6.607858300209045
9,twain,29,thompson,6.679599761962891
9,twain,29,dickens,6.419149367014567
9,twain,29,melville,6.525378227233887
9,twain,29,wells,6.483279228210449
9,twain,29,austen,6.407490290128267
9,twain,29,fitzgerald,6.80793309211731
9,twain,29,twain,6.108066876729329
9,twain,30,train,6.24377806186676
9,twain,30,baum,6.576521992683411
9,twain,30,thompson,6.649607181549072
9,twain,30,dickens,6.386643775304159
9,twain,30,melville,6.496445655822754
9,twain,30,wells,6.451729774475098
9,twain,30,austen,6.37325092462393
9,twain,30,fitzgerald,6.780532240867615
9,twain,30,twain,6.064359188079834
9,twain,31,train,6.221583354473114
9,twain,31,baum,6.537235617637634
9,twain,31,thompson,6.621487975120544
9,twain,31,dickens,6.359140316645305
9,twain,31,melville,6.474338054656982
9,twain,31,wells,6.427986431121826
9,twain,31,austen,6.3462383563701925
9,twain,31,fitzgerald,6.753447771072388
9,twain,31,twain,6.027655998865764
9,twain,32,train,6.18017852306366
9,twain,32,baum,6.514340877532959
9,twain,32,thompson,6.593079447746277
9,twain,32,dickens,6.330650520324707
9,twain,32,melville,6.444416046142578
9,twain,32,wells,6.397672080993653
9,twain,32,austen,6.315363994011512
9,twain,32,fitzgerald,6.730042219161987
9,twain,32,twain,5.989802519480388
9,twain,33,train,6.160151255130768
9,twain,33,baum,6.484766006469727
9,twain,33,thompson,6.570374608039856
9,twain,33,dickens,6.304077816009522
9,twain,33,melville,6.422143936157227
9,twain,33,wells,6.373415565490722
9,twain,33,austen,6.286964636582595
9,twain,33,fitzgerald,6.708864331245422
9,twain,33,twain,5.9541811148325605
9,twain,34,train,6.094294703006744
9,twain,34,baum,6.467137455940247
9,twain,34,thompson,6.550532698631287
9,twain,34,dickens,6.282686503728231
9,twain,34,melville,6.4004435539245605
9,twain,34,wells,6.349946308135986
9,twain,34,austen,6.263525045835054
9,twain,34,fitzgerald,6.693212389945984
9,twain,34,twain,5.923408428827922
9,twain,35,train,6.071109807491302
9,twain,35,baum,6.434938192367554
9,twain,35,thompson,6.526449203491211
9,twain,35,dickens,6.25187562306722
9,twain,35,melville,6.378829002380371
9,twain,35,wells,6.325316429138184
9,twain,35,austen,6.236844502962553
9,twain,35,fitzgerald,6.660151362419128
9,twain,35,twain,5.893024206161499
9,twain,36,train,6.019157016277314
9,twain,36,baum,6.420489430427551
9,twain,36,thompson,6.51068377494812
9,twain,36,dickens,6.232595046361287
9,twain,36,melville,6.363403797149658
9,twain,36,wells,6.304240322113037
9,twain,36,austen,6.216086497673621
9,twain,36,fitzgerald,6.646531939506531
9,twain,36,twain,5.859970728556315
9,twain,37,train,5.987341213226318
9,twain,37,baum,6.390798330307007
9,twain,37,thompson,6.486314654350281
9,twain,37,dickens,6.202895991007487
9,twain,37,melville,6.340719699859619
9,twain,37,wells,6.283020782470703
9,twain,37,austen,6.188133789942815
9,twain,37,fitzgerald,6.618925452232361
9,twain,37,twain,5.825300057729085
9,twain,38,train,5.9790487408638
9,twain,38,baum,6.3759154081344604
9,twain,38,thompson,6.469467282295227
9,twain,38,dickens,6.182687282562256
9,twain,38,melville,6.32434606552124
9,twain,38,wells,6.268301105499267
9,twain,38,austen,6.169950228471023
9,twain,38,fitzgerald,6.606399416923523
9,twain,38,twain,5.799795230229695
9,twain,39,train,5.967822086811066
9,twain,39,baum,6.352494478225708
9,twain,39,thompson,6.4508408308029175
9,twain,39,dickens,6.165619230270385
9,twain,39,melville,6.310551643371582
9,twain,39,wells,6.247847366333008
9,twain,39,austen,6.149142632117639
9,twain,39,fitzgerald,6.591854691505432
9,twain,39,twain,5.77261209487915
9,twain,40,train,5.930421149730682
9,twain,40,baum,6.33080267906189
9,twain,40,thompson,6.431263208389282
9,twain,40,dickens,6.141469097137451
9,twain,40,melville,6.294311046600342
