seed,train_author,epochs_completed,loss_dataset,loss_value
6,twain,0,baum,10.815496762593588
6,twain,0,thompson,10.81404617854527
6,twain,0,dickens,10.8190695643425
6,twain,0,melville,10.817648937827665
6,twain,0,wells,10.815837640028734
6,twain,0,austen,10.799695205688476
6,twain,0,fitzgerald,10.819323433770071
6,twain,0,twain,10.814450003884057
6,twain,1,train,9.29982705116272
6,twain,1,baum,8.778559366861979
6,twain,1,thompson,8.918492725917272
6,twain,1,dickens,8.823443695902824
6,twain,1,melville,8.814118385314941
6,twain,1,wells,8.753201484680176
6,twain,1,austen,8.713777542114258
6,twain,1,fitzgerald,8.850150214301216
6,twain,1,twain,8.756016514518045
6,twain,2,train,8.634484100341798
6,twain,2,baum,8.437801361083984
6,twain,2,thompson,8.58683626992362
6,twain,2,dickens,8.47919125854969
6,twain,2,melville,8.476063075818514
6,twain,2,wells,8.410904664259691
6,twain,2,austen,8.379453659057617
6,twain,2,fitzgerald,8.505538834465874
6,twain,2,twain,8.401572747664018
6,twain,3,train,8.2890625
6,twain,3,baum,8.105359925164116
6,twain,3,thompson,8.261852536882673
6,twain,3,dickens,8.144327580928802
6,twain,3,melville,8.146111789502596
6,twain,3,wells,8.077835339766283
6,twain,3,austen,8.051823616027832
6,twain,3,fitzgerald,8.170789824591743
6,twain,3,twain,8.054626551541416
6,twain,4,train,7.943563151359558
6,twain,4,baum,7.753980318705241
6,twain,4,thompson,7.91858754839216
6,twain,4,dickens,7.790169268846512
6,twain,4,melville,7.797858062543367
6,twain,4,wells,7.72583950482882
6,twain,4,austen,7.705284309387207
6,twain,4,fitzgerald,7.816292338901096
6,twain,4,twain,7.686780062588778
6,twain,5,train,7.573681020736695
6,twain,5,baum,7.387511465284559
6,twain,5,thompson,7.562008449009487
6,twain,5,dickens,7.4205818474292755
6,twain,5,melville,7.43395471572876
6,twain,5,wells,7.357797475961538
6,twain,5,austen,7.34234094619751
6,twain,5,fitzgerald,7.446689976586236
6,twain,5,twain,7.302683245051991
6,twain,6,train,7.193596494197846
6,twain,6,baum,7.00734970304701
6,twain,6,thompson,7.194031987871442
6,twain,6,dickens,7.03784466534853
6,twain,6,melville,7.056367322018272
6,twain,6,wells,6.975301889272837
6,twain,6,austen,6.964547824859619
6,twain,6,fitzgerald,7.063835197024876
6,twain,6,twain,6.903657219626687
6,twain,7,train,6.794827246665955
6,twain,7,baum,6.620833926730686
6,twain,7,thompson,6.821196147373745
6,twain,7,dickens,6.648361369967461
6,twain,7,melville,6.672275894566586
6,twain,7,wells,6.585580495687632
6,twain,7,austen,6.578927803039551
6,twain,7,fitzgerald,6.675173441569011
6,twain,7,twain,6.4972968101501465
6,twain,8,train,6.402175796031952
6,twain,8,baum,6.228445847829183
6,twain,8,thompson,6.444001947130476
6,twain,8,dickens,6.254215247929096
6,twain,8,melville,6.282729098671361
6,twain,8,wells,6.189401333148663
6,twain,8,austen,6.186808395385742
6,twain,8,fitzgerald,6.280875735812717
6,twain,8,twain,6.084468191320246
