seed,train_author,epochs_completed,loss_dataset,loss_value
1,twain,0,baum,10.83573831830706
1,twain,0,thompson,10.844865662711006
1,twain,0,dickens,10.823867416381836
1,twain,0,melville,10.842652257283529
1,twain,0,wells,10.840567668279013
1,twain,0,austen,10.840391332452947
1,twain,0,fitzgerald,10.843825780428372
1,twain,0,twain,10.849015610558649
1,twain,1,train,9.478746891021729
1,twain,1,baum,8.98276424407959
1,twain,1,thompson,8.880546297345843
1,twain,1,dickens,9.040642356872558
1,twain,1,melville,8.906607500712077
1,twain,1,wells,8.911166906356812
1,twain,1,austen,9.015560496937145
1,twain,1,fitzgerald,8.928139393146221
1,twain,1,twain,8.908008950097221
1,twain,2,train,8.785329294204711
1,twain,2,baum,8.576535633632115
1,twain,2,thompson,8.471862929207939
1,twain,2,dickens,8.64472312927246
1,twain,2,melville,8.49944356282552
1,twain,2,wells,8.504188219706217
1,twain,2,austen,8.604373931884766
1,twain,2,fitzgerald,8.518481181218075
1,twain,2,twain,8.497251272201538
1,twain,3,train,8.365889716148377
1,twain,3,baum,8.1590302331107
1,twain,3,thompson,8.054235322134835
1,twain,3,dickens,8.235597610473633
1,twain,3,melville,8.083397165934246
1,twain,3,wells,8.08713928858439
1,twain,3,austen,8.182959296486594
1,twain,3,fitzgerald,8.09873940394475
1,twain,3,twain,8.07714741570609
1,twain,4,train,7.922028708457947
1,twain,4,baum,7.71345363344465
1,twain,4,thompson,7.607884270804269
1,twain,4,dickens,7.798526668548584
1,twain,4,melville,7.636734994252523
1,twain,4,wells,7.640851020812988
1,twain,4,austen,7.732580531727184
1,twain,4,fitzgerald,7.650668657743013
1,twain,4,twain,7.626053094863892
1,twain,5,train,7.464159476757049
1,twain,5,baum,7.246990885053362
1,twain,5,thompson,7.14000483921596
1,twain,5,dickens,7.341664028167725
1,twain,5,melville,7.169390805562338
1,twain,5,wells,7.173579414685567
1,twain,5,austen,7.261938962069425
1,twain,5,fitzgerald,7.181506963876577
1,twain,5,twain,7.154345699719021
1,twain,6,train,6.984877252578736
1,twain,6,baum,6.769697393689837
1,twain,6,thompson,6.6601569311959405
1,twain,6,dickens,6.87365026473999
1,twain,6,melville,6.68875093460083
1,twain,6,wells,6.694300929705302
1,twain,6,austen,6.780349341305819
1,twain,6,fitzgerald,6.701074563539946
1,twain,6,twain,6.670648115021842
1,twain,7,train,6.495544815063477
1,twain,7,baum,6.293613365718296
1,twain,7,thompson,6.179671083177839
1,twain,7,dickens,6.407439708709717
1,twain,7,melville,6.206501642862956
1,twain,7,wells,6.214045882225037
1,twain,7,austen,6.29969934983687
1,twain,7,fitzgerald,6.221275439629188
1,twain,7,twain,6.185639653887067
1,twain,8,train,6.021199643611908
1,twain,8,baum,5.828100408826556
1,twain,8,thompson,5.708720684051514
1,twain,8,dickens,5.95273723602295
1,twain,8,melville,5.73648370107015
1,twain,8,wells,5.744518240292867
1,twain,8,austen,5.832169142636386
1,twain,8,fitzgerald,5.75093177648691
1,twain,8,twain,5.712351390293667
1,twain,9,train,5.54838398694992
1,twain,9,baum,5.381507056100028
1,twain,9,thompson,5.253677027566092
1,twain,9,dickens,5.515114116668701
1,twain,9,melville,5.2801541964213055
1,twain,9,wells,5.290058970451355
1,twain,9,austen,5.383706396276301
1,twain,9,fitzgerald,5.296981738163875
1,twain,9,twain,5.253989951951163
1,twain,10,train,5.101672446727752
1,twain,10,baum,4.960547855922154
1,twain,10,thompson,4.822497708456857
1,twain,10,dickens,5.102068710327148
1,twain,10,melville,4.848089472452799
1,twain,10,wells,4.859766920407613
1,twain,10,austen,4.963467294519598
1,twain,10,fitzgerald,4.866781381460337
1,twain,10,twain,4.820476753371103
1,twain,11,train,4.6833229780197145
1,twain,11,baum,4.569385596684048
1,twain,11,thompson,4.419495310102191
1,twain,11,dickens,4.718442058563232
1,twain,11,melville,4.444296741485596
1,twain,11,wells,4.457491914431254
1,twain,11,austen,4.575401739640669
1,twain,11,fitzgerald,4.465216820056622
1,twain,11,twain,4.415790387562343
1,twain,12,train,4.291474604606629
1,twain,12,baum,4.2081902367728095
1,twain,12,thompson,4.044478927339826
1,twain,12,dickens,4.364753150939942
1,twain,12,melville,4.069426552454631
1,twain,12,wells,4.083864748477936
1,twain,12,austen,4.21885481747714
1,twain,12,fitzgerald,4.092231310330904
1,twain,12,twain,4.040254856858935
1,twain,13,train,3.9276341557502734
1,twain,13,baum,3.879423005240304
1,twain,13,thompson,3.700771808624268
1,twain,13,dickens,4.0444738388061525
1,twain,13,melville,3.727280060450236
1,twain,13,wells,3.7421173652013136
1,twain,13,austen,3.8966647494922975
1,twain,13,fitzgerald,3.751049958742582
1,twain,13,twain,3.697878837585449
1,twain,14,train,3.605700576305389
1,twain,14,baum,3.5807362283979143
1,twain,14,thompson,3.386627435684204
1,twain,14,dickens,3.753946828842163
1,twain,14,melville,3.4152963320414225
1,twain,14,wells,3.431188464164734
1,twain,14,austen,3.605432727120139
1,twain,14,fitzgerald,3.4401126091296854
1,twain,14,twain,3.386656199182783
1,twain,15,train,3.313540256023407
1,twain,15,baum,3.3187124729156494
1,twain,15,thompson,3.1101523467472623
1,twain,15,dickens,3.500881004333496
1,twain,15,melville,3.1410350163777667
1,twain,15,wells,3.157319863637289
1,twain,15,austen,3.3508375124497847
1,twain,15,fitzgerald,3.16714360163762
1,twain,15,twain,3.111818867070334
1,twain,16,train,3.053871661424637
1,twain,16,baum,3.086946725845337
1,twain,16,thompson,2.86410049029759
1,twain,16,dickens,3.2774020195007325
1,twain,16,melville,2.897801653544108
1,twain,16,wells,2.914670725663503
1,twain,16,austen,3.126418178731745
1,twain,16,fitzgerald,2.924317745062021
1,twain,16,twain,2.868440398148128
1,twain,17,train,2.8343736588954926
1,twain,17,baum,2.8901570524488176
1,twain,17,thompson,2.65473519052778
1,twain,17,dickens,3.0887778759002686
1,twain,17,melville,2.691500520706177
1,twain,17,wells,2.7093201080958047
1,twain,17,austen,2.936386260119352
1,twain,17,fitzgerald,2.718227753272424
1,twain,17,twain,2.6625493935176303
1,twain,18,train,2.6518760681152345
1,twain,18,baum,2.7238810743604387
1,twain,18,thompson,2.4782444068363736
1,twain,18,dickens,2.9307032585144044
1,twain,18,melville,2.518889697392781
1,twain,18,wells,2.53687059879303
1,twain,18,austen,2.776349024339156
1,twain,18,fitzgerald,2.54425756747906
1,twain,18,twain,2.489571954522814
1,twain,19,train,2.4878223836421967
1,twain,19,baum,2.5859081745147705
1,twain,19,thompson,2.333016395568848
1,twain,19,dickens,2.8003392696380613
1,twain,19,melville,2.3771934350331625
1,twain,19,wells,2.3943259716033936
1,twain,19,austen,2.644981557672674
1,twain,19,fitzgerald,2.4006533806140604
1,twain,19,twain,2.346690842083522
1,twain,20,train,2.3546612441539763
1,twain,20,baum,2.47306455884661
1,twain,20,thompson,2.2145588057381764
1,twain,20,dickens,2.692502737045288
1,twain,20,melville,2.260445992151896
1,twain,20,wells,2.2776999274889627
1,twain,20,austen,2.5360781496221367
1,twain,20,fitzgerald,2.2826680953686056
1,twain,20,twain,2.2292447771344865
1,twain,21,train,2.2611628592014315
1,twain,21,baum,2.37676899773734
1,twain,21,thompson,2.112964936665126
1,twain,21,dickens,2.6027207374572754
1,twain,21,melville,2.16323881149292
1,twain,21,wells,2.180335253477097
1,twain,21,austen,2.4450936100699683
1,twain,21,fitzgerald,2.1819796011998105
1,twain,21,twain,2.132871295724596
1,twain,22,train,2.168180108070373
1,twain,22,baum,2.2982817036764964
1,twain,22,thompson,2.03269134249006
1,twain,22,dickens,2.528390073776245
1,twain,22,melville,2.086135760943095
1,twain,22,wells,2.100881447394689
1,twain,22,austen,2.370418136770075
1,twain,22,fitzgerald,2.1005712839273305
1,twain,22,twain,2.054303675889969
1,twain,23,train,2.1031831443309783
1,twain,23,baum,2.2347800050463
1,twain,23,thompson,1.96885769707816
1,twain,23,dickens,2.468796730041504
1,twain,23,melville,2.023946309089661
1,twain,23,wells,2.036706586678823
1,twain,23,austen,2.310172102668069
1,twain,23,fitzgerald,2.035318741431603
1,twain,23,twain,1.9902008431298392
1,twain,24,train,2.0261846840381623
1,twain,24,baum,2.181794592312404
1,twain,24,thompson,1.9146363394601005
1,twain,24,dickens,2.4178000926971435
1,twain,24,melville,1.9703715483347573
1,twain,24,wells,1.9820193946361544
1,twain,24,austen,2.259109236977317
