seed,train_author,epochs_completed,loss_dataset,loss_value
9,twain,0,baum,10.74736385345459
9,twain,0,thompson,10.716117699941
9,twain,0,dickens,10.745585015479554
9,twain,0,melville,10.70019245147705
9,twain,0,wells,10.71804392337799
9,twain,0,austen,10.739159440994262
9,twain,0,fitzgerald,10.748160934448242
9,twain,0,twain,10.739632892608643
9,twain,1,train,9.620168375968934
9,twain,1,baum,9.179779434204102
9,twain,1,thompson,9.204247633616127
9,twain,1,dickens,9.162905165489684
9,twain,1,melville,9.240656852722168
9,twain,1,wells,9.062108039855955
9,twain,1,austen,9.10371036529541
9,twain,1,fitzgerald,9.209762573242188
9,twain,1,twain,9.22765007019043
9,twain,2,train,8.943206548690796
9,twain,2,baum,8.720573425292969
9,twain,2,thompson,8.766272703806559
9,twain,2,dickens,8.714356747079403
9,twain,2,melville,8.818164348602295
9,twain,2,wells,8.60648512840271
9,twain,2,austen,8.65339698791504
9,twain,2,fitzgerald,8.75571117401123
9,twain,2,twain,8.778198146820069
9,twain,3,train,8.479950141906738
9,twain,3,baum,8.25274486541748
9,twain,3,thompson,8.314887364705404
9,twain,3,dickens,8.250077349074344
9,twain,3,melville,8.381704330444336
9,twain,3,wells,8.14250898361206
9,twain,3,austen,8.189266109466553
9,twain,3,fitzgerald,8.29017276763916
9,twain,3,twain,8.31902551651001
9,twain,4,train,7.999014842510223
9,twain,4,baum,7.754541778564453
9,twain,4,thompson,7.831643422444661
9,twain,4,dickens,7.755259361672909
9,twain,4,melville,7.911966323852539
9,twain,4,wells,7.646594822406769
9,twain,4,austen,7.6919846534729
9,twain,4,fitzgerald,7.795958423614502
9,twain,4,twain,7.828372144699097
9,twain,5,train,7.485815131664276
9,twain,5,baum,7.231677532196045
9,twain,5,thompson,7.323927481969197
9,twain,5,dickens,7.236533195414442
9,twain,5,melville,7.416815519332886
9,twain,5,wells,7.125277101993561
9,twain,5,austen,7.170173859596252
9,twain,5,fitzgerald,7.279758739471435
9,twain,5,twain,7.3144766330719
9,twain,6,train,6.953063702583313
9,twain,6,baum,6.69523401260376
9,twain,6,thompson,6.803116003672282
9,twain,6,dickens,6.7042226689927125
9,twain,6,melville,6.908305406570435
9,twain,6,wells,6.586425423622131
9,twain,6,austen,6.633915424346924
9,twain,6,fitzgerald,6.749625110626221
9,twain,6,twain,6.787460422515869
9,twain,7,train,6.414332091808319
9,twain,7,baum,6.152218437194824
9,twain,7,thompson,6.275588750839233
9,twain,7,dickens,6.164347029746847
9,twain,7,melville,6.392351865768433
9,twain,7,wells,6.040038228034973
9,twain,7,austen,6.089815092086792
9,twain,7,fitzgerald,6.213565063476563
9,twain,7,twain,6.254436492919922
9,twain,8,train,5.871684896945953
9,twain,8,baum,5.6132762908935545
9,twain,8,thompson,5.753122647603353
9,twain,8,dickens,5.629650075384912
9,twain,8,melville,5.881648063659668
9,twain,8,wells,5.498472690582275
9,twain,8,austen,5.548621940612793
9,twain,8,fitzgerald,5.683892917633057
9,twain,8,twain,5.725387382507324
9,twain,9,train,5.3312965631484985
9,twain,9,baum,5.091220664978027
9,twain,9,thompson,5.246636549631755
9,twain,9,dickens,5.109439941162759
9,twain,9,melville,5.384820222854614
9,twain,9,wells,4.968464970588684
9,twain,9,austen,5.021015214920044
9,twain,9,fitzgerald,5.170569038391113
9,twain,9,twain,5.213090610504151
9,twain,10,train,4.816582453250885
9,twain,10,baum,4.59773998260498
9,twain,10,thompson,4.769105672836304
9,twain,10,dickens,4.616153392385929
9,twain,10,melville,4.916227579116821
9,twain,10,wells,4.466673672199249
9,twain,10,austen,4.52003026008606
9,twain,10,fitzgerald,4.68754014968872
9,twain,10,twain,4.72956166267395
9,twain,11,train,4.334601521492004
9,twain,11,baum,4.148250102996826
9,twain,11,thompson,4.334551493326823
9,twain,11,dickens,4.164182602091039
9,twain,11,melville,4.488323450088501
9,twain,11,wells,4.004590779542923
9,twain,11,austen,4.059743118286133
9,twain,11,fitzgerald,4.246671676635742
9,twain,11,twain,4.289676094055176
9,twain,12,train,3.899630618095398
9,twain,12,baum,3.751020336151123
9,twain,12,thompson,3.9520586331685386
9,twain,12,dickens,3.763863426573733
9,twain,12,melville,4.112056016921997
9,twain,12,wells,3.594413071870804
9,twain,12,austen,3.64934903383255
9,twain,12,fitzgerald,3.86176552772522
9,twain,12,twain,3.902499866485596
9,twain,13,train,3.5196076035499573
9,twain,13,baum,3.4121285915374755
9,twain,13,thompson,3.626612424850464
9,twain,13,dickens,3.421044466343332
9,twain,13,melville,3.792728066444397
9,twain,13,wells,3.2413246631622314
9,twain,13,austen,3.296055865287781
9,twain,13,fitzgerald,3.53395528793335
9,twain,13,twain,3.5732336759567263
9,twain,14,train,3.199740487337112
9,twain,14,baum,3.1332512378692625
9,twain,14,thompson,3.359706600507101
9,twain,14,dickens,3.136674723726638
9,twain,14,melville,3.528882503509521
9,twain,14,wells,2.94803386926651
9,twain,14,austen,3.003226947784424
9,twain,14,fitzgerald,3.2653121948242188
9,twain,14,twain,3.3025229930877686
9,twain,15,train,2.941019082069397
9,twain,15,baum,2.8977973461151123
9,twain,15,thompson,3.135173837343852
9,twain,15,dickens,2.8986911012771284
9,twain,15,melville,3.3100560903549194
9,twain,15,wells,2.7039538621902466
9,twain,15,austen,2.757216513156891
9,twain,15,fitzgerald,3.03995680809021
9,twain,15,twain,3.074024748802185
9,twain,16,train,2.721008515357972
9,twain,16,baum,2.705113029479981
9,twain,16,thompson,2.9534788926442466
9,twain,16,dickens,2.704166275389651
9,twain,16,melville,3.133869767189026
9,twain,16,wells,2.503514140844345
9,twain,16,austen,2.5549770474433897
9,twain,16,fitzgerald,2.856020736694336
9,twain,16,twain,2.889141201972961
9,twain,17,train,2.524909496307373
9,twain,17,baum,2.545640563964844
9,twain,17,thompson,2.802774985631307
9,twain,17,dickens,2.5422986517561244
9,twain,17,melville,2.9863611459732056
9,twain,17,wells,2.336482137441635
9,twain,17,austen,2.387904334068298
9,twain,17,fitzgerald,2.702991342544556
9,twain,17,twain,2.7359931230545045
9,twain,18,train,2.372219514846802
9,twain,18,baum,2.4082579135894777
9,twain,18,thompson,2.673473715782165
9,twain,18,dickens,2.4036427457281886
9,twain,18,melville,2.861211061477661
9,twain,18,wells,2.195067256689072
9,twain,18,austen,2.245462942123413
9,twain,18,fitzgerald,2.5700730323791503
9,twain,18,twain,2.6036367654800414
9,twain,19,train,2.238551843166351
9,twain,19,baum,2.2920591831207275
9,twain,19,thompson,2.5639641682306924
9,twain,19,dickens,2.284748706411808
9,twain,19,melville,2.7570101022720337
9,twain,19,wells,2.0772977769374847
9,twain,19,austen,2.1244276762008667
9,twain,19,fitzgerald,2.456090784072876
9,twain,19,twain,2.4909534215927125
9,twain,20,train,2.1289975941181183
9,twain,20,baum,2.195107078552246
9,twain,20,thompson,2.4736341635386148
9,twain,20,dickens,2.188338989907123
9,twain,20,melville,2.6688220500946045
9,twain,20,wells,1.9796698987483976
9,twain,20,austen,2.025919407606125
9,twain,20,fitzgerald,2.3618417263031004
9,twain,20,twain,2.396674132347107
9,twain,21,train,2.044159930944443
9,twain,21,baum,2.1099230289459228
9,twain,21,thompson,2.39347509543101
9,twain,21,dickens,2.104570951867611
9,twain,21,melville,2.59418785572052
9,twain,21,wells,1.8948492407798767
9,twain,21,austen,1.9417036473751068
9,twain,21,fitzgerald,2.2751206874847414
9,twain,21,twain,2.3131049633026124
9,twain,22,train,1.971080508828163
9,twain,22,baum,2.0358563899993896
9,twain,22,thompson,2.324511011441549
9,twain,22,dickens,2.0337912655891257
9,twain,22,melville,2.5267038345336914
9,twain,22,wells,1.826047167181969
9,twain,22,austen,1.870768910646439
9,twain,22,fitzgerald,2.2027390956878663
9,twain,22,twain,2.240079951286316
9,twain,23,train,1.901848515868187
9,twain,23,baum,1.9753185510635376
9,twain,23,thompson,2.264776329199473
9,twain,23,dickens,1.974964496937204
9,twain,23,melville,2.4686344861984253
9,twain,23,wells,1.7668013721704483
9,twain,23,austen,1.8122616350650784
9,twain,23,fitzgerald,2.1407161235809324
9,twain,23,twain,2.1788832426071165
9,twain,24,train,1.842901384830475
9,twain,24,baum,1.918328547477722
9,twain,24,thompson,2.2140201528867087
9,twain,24,dickens,1.923470213058147
9,twain,24,melville,2.425014913082123
9,twain,24,wells,1.7142866253852844
9,twain,24,austen,1.7608571827411652
9,twain,24,fitzgerald,2.083417296409607
9,twain,24,twain,2.125643479824066
9,twain,25,train,1.7904698640108108
9,twain,25,baum,1.8701897621154784
9,twain,25,thompson,2.168907940387726
9,twain,25,dickens,1.876464483585764
9,twain,25,melville,2.380221605300904
9,twain,25,wells,1.66983762383461
9,twain,25,austen,1.7160622775554657
9,twain,25,fitzgerald,2.0363041400909423
9,twain,25,twain,2.078027665615082
9,twain,26,train,1.7470363229513168
9,twain,26,baum,1.8280920028686525
9,twain,26,thompson,2.131069600582123
9,twain,26,dickens,1.841145322677937
9,twain,26,melville,2.3464661240577698
9,twain,26,wells,1.6316043734550476
9,twain,26,austen,1.6783965289592744
9,twain,26,fitzgerald,1.9948615789413453
9,twain,26,twain,2.037460947036743
9,twain,27,train,1.722364714741707
9,twain,27,baum,1.790033507347107
9,twain,27,thompson,2.095271090666453
9,twain,27,dickens,1.806646620973628
9,twain,27,melville,2.3131141662597656
9,twain,27,wells,1.5985306650400162
9,twain,27,austen,1.6451726734638217
9,twain,27,fitzgerald,1.9565587520599368
9,twain,27,twain,1.9976650953292847
9,twain,28,train,1.6723420113325118
9,twain,28,baum,1.7588271141052243
9,twain,28,thompson,2.0748901963233948
9,twain,28,dickens,1.777230587411434
9,twain,28,melville,2.298497974872589
9,twain,28,wells,1.5678954422473907
9,twain,28,austen,1.6164817690849305
9,twain,28,fitzgerald,1.928078842163086
9,twain,28,twain,1.9714330196380616
9,twain,29,train,1.6391365736722947
9,twain,29,baum,1.7343131303787231
9,twain,29,thompson,2.051245629787445
9,twain,29,dickens,1.750713936826016
9,twain,29,melville,2.2736029624938965
9,twain,29,wells,1.541840448975563
9,twain,29,austen,1.590633410215378
9,twain,29,fitzgerald,1.8994446992874143
9,twain,29,twain,1.9441102981567384
9,twain,30,train,1.6163804233074188
9,twain,30,baum,1.706863236427307
9,twain,30,thompson,2.0272245009740195
9,twain,30,dickens,1.7289188263264108
9,twain,30,melville,2.255601108074188
9,twain,30,wells,1.5179715007543564
9,twain,30,austen,1.5685843110084534
9,twain,30,fitzgerald,1.8734768629074097
9,twain,30,twain,1.9181775331497195
9,twain,31,train,1.5989596784114837
9,twain,31,baum,1.6840576648712158
9,twain,31,thompson,2.0064653952916465
9,twain,31,dickens,1.7105178046733776
9,twain,31,melville,2.235388100147248
9,twain,31,wells,1.4994705468416214
9,twain,31,austen,1.5495197832584382
9,twain,31,fitzgerald,1.8536072969436648
9,twain,31,twain,1.894490075111389
9,twain,32,train,1.5750460416078569
9,twain,32,baum,1.6617604494094849
9,twain,32,thompson,1.989953875541687
9,twain,32,dickens,1.691498576326573
9,twain,32,melville,2.225683569908142
9,twain,32,wells,1.480177953839302
9,twain,32,austen,1.5306239008903504
9,twain,32,fitzgerald,1.8305954694747928
9,twain,32,twain,1.876062881946564
9,twain,33,train,1.5591512829065324
9,twain,33,baum,1.6443813562393188
9,twain,33,thompson,1.974821348985036
9,twain,33,dickens,1.6739160583374348
9,twain,33,melville,2.2080089449882507
9,twain,33,wells,1.4640240520238876
9,twain,33,austen,1.5137950956821442
9,twain,33,fitzgerald,1.8140275716781613
9,twain,33,twain,1.855858314037323
9,twain,34,train,1.538428431749344
9,twain,34,baum,1.627850580215454
9,twain,34,thompson,1.9638509551684065
9,twain,34,dickens,1.6601235841182953
9,twain,34,melville,2.202124774456024
9,twain,34,wells,1.448273479938507
9,twain,34,austen,1.500270026922226
9,twain,34,fitzgerald,1.79374520778656
9,twain,34,twain,1.8425408005714417
9,twain,35,train,1.5242968261241914
9,twain,35,baum,1.609730863571167
9,twain,35,thompson,1.9364370703697205
9,twain,35,dickens,1.639326095581055
