seed,train_author,epochs_completed,loss_dataset,loss_value
8,wells,0,baum,10.837907552719116
8,wells,0,thompson,10.849258184432983
8,wells,0,dickens,10.8518514279966
8,wells,0,melville,10.851263427734375
8,wells,0,wells,10.844543933868408
8,wells,0,austen,10.85239601135254
8,wells,0,fitzgerald,10.833937486012776
8,wells,0,twain,10.830472707748411
8,wells,1,train,10.484239339828491
8,wells,1,baum,10.280232191085815
8,wells,1,thompson,10.319848537445068
8,wells,1,dickens,10.292855792575413
8,wells,1,melville,10.318596839904783
8,wells,1,wells,10.251367807388306
8,wells,1,austen,10.288378874460856
8,wells,1,fitzgerald,10.307153224945068
8,wells,1,twain,10.307536721229551
8,wells,2,train,10.073553562164308
8,wells,2,baum,9.901228427886965
8,wells,2,thompson,9.960304260253906
8,wells,2,dickens,9.92843687975848
8,wells,2,melville,9.960379600524902
8,wells,2,wells,9.850263357162476
8,wells,2,austen,9.899041970570885
8,wells,2,fitzgerald,9.925159613291422
8,wells,2,twain,9.952367961406708
8,wells,3,train,9.684906816482544
8,wells,3,baum,9.550700426101685
8,wells,3,thompson,9.625375509262083
8,wells,3,dickens,9.582843992445204
8,wells,3,melville,9.626530170440674
8,wells,3,wells,9.47497582435608
8,wells,3,austen,9.528067429860434
8,wells,3,fitzgerald,9.566880861918133
8,wells,3,twain,9.61894190311432
8,wells,4,train,9.325889611244202
8,wells,4,baum,9.230114936828612
8,wells,4,thompson,9.320851802825928
8,wells,4,dickens,9.260085671036332
8,wells,4,melville,9.321052360534669
8,wells,4,wells,9.128405332565308
8,wells,4,austen,9.186268011728922
8,wells,4,fitzgerald,9.240422248840332
8,wells,4,twain,9.310170948505402
8,wells,5,train,8.990666437149049
8,wells,5,baum,8.934358358383179
8,wells,5,thompson,9.042119026184082
8,wells,5,dickens,8.965954745257342
8,wells,5,melville,9.041294479370118
8,wells,5,wells,8.807045221328735
8,wells,5,austen,8.869791030883789
8,wells,5,fitzgerald,8.93690284093221
8,wells,5,twain,9.026900708675385
8,wells,6,train,8.688769698143005
8,wells,6,baum,8.666239023208618
8,wells,6,thompson,8.791597604751587
8,wells,6,dickens,8.69150267706977
8,wells,6,melville,8.786919403076173
8,wells,6,wells,8.515208721160889
8,wells,6,austen,8.579517364501953
8,wells,6,fitzgerald,8.66201384862264
8,wells,6,twain,8.769673645496368
8,wells,7,train,8.407471942901612
8,wells,7,baum,8.421277284622192
8,wells,7,thompson,8.56352424621582
8,wells,7,dickens,8.446370054174352
8,wells,7,melville,8.557013320922852
8,wells,7,wells,8.248584747314453
8,wells,7,austen,8.316230614980062
8,wells,7,fitzgerald,8.411177476247152
8,wells,7,twain,8.538734197616577
8,wells,8,train,8.154797887802124
8,wells,8,baum,8.20222806930542
8,wells,8,thompson,8.362811803817749
8,wells,8,dickens,8.226353645324707
8,wells,8,melville,8.352875900268554
8,wells,8,wells,8.007036566734314
8,wells,8,austen,8.08001216252645
8,wells,8,fitzgerald,8.18918546040853
8,wells,8,twain,8.33089530467987
8,wells,9,train,7.924004983901978
8,wells,9,baum,8.00213623046875
8,wells,9,thompson,8.182223558425903
8,wells,9,dickens,8.03229120042589
8,wells,9,melville,8.172429656982422
8,wells,9,wells,7.791027784347534
8,wells,9,austen,7.869472901026408
8,wells,9,fitzgerald,7.986732403437297
8,wells,9,twain,8.147268950939178
8,wells,10,train,7.732677710056305
8,wells,10,baum,7.8276835680007935
8,wells,10,thompson,8.024597764015198
8,wells,10,dickens,7.858107478530319
8,wells,10,melville,8.011981439590453
8,wells,10,wells,7.596852302551269
8,wells,10,austen,7.681883176167806
8,wells,10,fitzgerald,7.808087746302287
8,wells,10,twain,7.985221892595291
8,wells,11,train,7.547786152362823
8,wells,11,baum,7.672605752944946
8,wells,11,thompson,7.886269807815552
8,wells,11,dickens,7.709502184832537
8,wells,11,melville,7.874167919158935
8,wells,11,wells,7.427556395530701
8,wells,11,austen,7.518953005472819
8,wells,11,fitzgerald,7.651076793670654
8,wells,11,twain,7.843530029058456
8,wells,12,train,7.392792391777038
8,wells,12,baum,7.539131164550781
8,wells,12,thompson,7.765817046165466
8,wells,12,dickens,7.579979402047616
8,wells,12,melville,7.7546546459198
8,wells,12,wells,7.2798943519592285
8,wells,12,austen,7.380923827489217
8,wells,12,fitzgerald,7.51682448387146
8,wells,12,twain,7.720994770526886
8,wells,13,train,7.259423530101776
8,wells,13,baum,7.423628091812134
8,wells,13,thompson,7.66356635093689
8,wells,13,dickens,7.468331178029378
8,wells,13,melville,7.651694679260254
8,wells,13,wells,7.15175998210907
8,wells,13,austen,7.259045759836833
8,wells,13,fitzgerald,7.398563623428345
8,wells,13,twain,7.614346891641617
8,wells,14,train,7.155375695228576
8,wells,14,baum,7.3232661485672
8,wells,14,thompson,7.57866907119751
8,wells,14,dickens,7.374927503091317
8,wells,14,melville,7.566623401641846
8,wells,14,wells,7.040633320808411
8,wells,14,austen,7.157238562901815
8,wells,14,fitzgerald,7.299304246902466
8,wells,14,twain,7.523970305919647
8,wells,15,train,7.043607604503632
8,wells,15,baum,7.238730430603027
8,wells,15,thompson,7.507129192352295
8,wells,15,dickens,7.295913449040166
8,wells,15,melville,7.494346237182617
8,wells,15,wells,6.945332407951355
8,wells,15,austen,7.070385297139485
8,wells,15,fitzgerald,7.2166428565979
8,wells,15,twain,7.445239424705505
8,wells,16,train,6.945188677310943
8,wells,16,baum,7.1612701416015625
8,wells,16,thompson,7.441585183143616
8,wells,16,dickens,7.222618473900689
8,wells,16,melville,7.431686353683472
8,wells,16,wells,6.861767649650574
8,wells,16,austen,6.994343916575114
8,wells,16,fitzgerald,7.138540029525757
8,wells,16,twain,7.379041850566864
8,wells,17,train,6.869402849674225
8,wells,17,baum,7.097164869308472
8,wells,17,thompson,7.386125802993774
8,wells,17,dickens,7.158020973205566
8,wells,17,melville,7.378091812133789
8,wells,17,wells,6.786038994789124
8,wells,17,austen,6.928010145823161
8,wells,17,fitzgerald,7.071801026662191
8,wells,17,twain,7.32161608338356
8,wells,18,train,6.806703174114228
8,wells,18,baum,7.039888143539429
8,wells,18,thompson,7.338308930397034
8,wells,18,dickens,7.100412986896656
8,wells,18,melville,7.333230066299438
8,wells,18,wells,6.722935438156128
8,wells,18,austen,6.871238311131795
8,wells,18,fitzgerald,7.015158573786418
8,wells,18,twain,7.272238194942474
8,wells,19,train,6.75250015258789
8,wells,19,baum,6.990396618843079
8,wells,19,thompson,7.297451496124268
8,wells,19,dickens,7.049952030181885
8,wells,19,melville,7.292448091506958
8,wells,19,wells,6.665930986404419
8,wells,19,austen,6.822851101557414
8,wells,19,fitzgerald,6.966957012812297
8,wells,19,twain,7.229116141796112
8,wells,20,train,6.686371231079102
8,wells,20,baum,6.943596601486206
8,wells,20,thompson,7.25795042514801
8,wells,20,dickens,7.00527936440927
8,wells,20,melville,7.255028200149536
8,wells,20,wells,6.613656759262085
8,wells,20,austen,6.776389439900716
8,wells,20,fitzgerald,6.920728365580241
8,wells,20,twain,7.190415352582932
8,wells,21,train,6.64414895772934
8,wells,21,baum,6.900223731994629
8,wells,21,thompson,7.219212889671326
8,wells,21,dickens,6.9629168333830656
8,wells,21,melville,7.221424198150634
8,wells,21,wells,6.562241315841675
8,wells,21,austen,6.735864957173665
8,wells,21,fitzgerald,6.876859347025554
8,wells,21,twain,7.157085508108139
8,wells,22,train,6.592004024982453
8,wells,22,baum,6.85943078994751
