seed,train_author,epochs_completed,loss_dataset,loss_value
1,wells,0,baum,10.800449583265516
1,wells,0,thompson,10.80440104007721
1,wells,0,dickens,10.807319482167562
1,wells,0,melville,10.810380140940348
1,wells,0,wells,10.809378896440778
1,wells,0,austen,10.796372731526692
1,wells,0,fitzgerald,10.81082534790039
1,wells,0,twain,10.799435324139065
1,wells,1,train,9.33205337524414
1,wells,1,baum,8.867379506429037
1,wells,1,thompson,8.964815497398376
1,wells,1,dickens,8.893399715423584
1,wells,1,melville,8.943747520446777
1,wells,1,wells,8.881341184888567
1,wells,1,austen,8.783277829488119
1,wells,1,fitzgerald,8.939011383056641
1,wells,1,twain,8.850775215360853
1,wells,2,train,8.657053017616272
1,wells,2,baum,8.47654586368137
1,wells,2,thompson,8.58680248260498
1,wells,2,dickens,8.500198523203531
1,wells,2,melville,8.562511232164171
1,wells,2,wells,8.483918803078788
1,wells,2,austen,8.385038757324219
1,wells,2,fitzgerald,8.551391410827637
1,wells,2,twain,8.46348343955146
1,wells,3,train,8.297783470153808
1,wells,3,baum,8.138392766316732
1,wells,3,thompson,8.257443070411682
1,wells,3,dickens,8.16075340906779
1,wells,3,melville,8.234191735585531
1,wells,3,wells,8.138182980673653
1,wells,3,austen,8.044580523173014
1,wells,3,fitzgerald,8.214742851257324
1,wells,3,twain,8.131751696268717
1,wells,4,train,7.940754866600036
1,wells,4,baum,7.78772317038642
1,wells,4,thompson,7.916915237903595
1,wells,4,dickens,7.80765716234843
1,wells,4,melville,7.893654531902737
1,wells,4,wells,7.781106608254569
1,wells,4,austen,7.691020488739014
1,wells,4,fitzgerald,7.865903345743815
1,wells,4,twain,7.787644770410326
1,wells,5,train,7.577830624580383
1,wells,5,baum,7.42594231499566
1,wells,5,thompson,7.565643608570099
1,wells,5,dickens,7.442654530207316
1,wells,5,melville,7.54210352897644
1,wells,5,wells,7.412106786455427
1,wells,5,austen,7.325283209482829
1,wells,5,fitzgerald,7.506341393788656
1,wells,5,twain,7.431981431113349
1,wells,6,train,7.20276448726654
1,wells,6,baum,7.055400477515327
1,wells,6,thompson,7.207650899887085
1,wells,6,dickens,7.068575938542684
1,wells,6,melville,7.183769411510891
1,wells,6,wells,7.035489048276629
1,wells,6,austen,6.950906531016032
1,wells,6,fitzgerald,7.138838005065918
1,wells,6,twain,7.068957858615452
1,wells,7,train,6.818829464912414
1,wells,7,baum,6.679880089230007
1,wells,7,thompson,6.845368683338165
1,wells,7,dickens,6.689794063568115
1,wells,7,melville,6.820123142666287
1,wells,7,wells,6.654778718948364
1,wells,7,austen,6.569559828440348
1,wells,7,fitzgerald,6.766683928171793
1,wells,7,twain,6.699702858924866
1,wells,8,train,6.444651973247528
1,wells,8,baum,6.301866796281603
1,wells,8,thompson,6.481920003890991
1,wells,8,dickens,6.309630076090495
1,wells,8,melville,6.455249759886
1,wells,8,wells,6.272861446653094
1,wells,8,austen,6.184666220347086
1,wells,8,fitzgerald,6.392946116129557
1,wells,8,twain,6.327928437127008
1,wells,9,train,6.058839762210846
1,wells,9,baum,5.924707783593072
1,wells,9,thompson,6.1199647188186646
1,wells,9,dickens,5.930979649225871
1,wells,9,melville,6.091966893937853
1,wells,9,wells,5.892988273075649
1,wells,9,austen,5.800493335723877
1,wells,9,fitzgerald,6.020963923136393
1,wells,9,twain,5.9573937389585705
1,wells,10,train,5.677744805812836
1,wells,10,baum,5.546196248796251
1,wells,10,thompson,5.758299887180328
1,wells,10,dickens,5.551213343938191
1,wells,10,melville,5.728630913628472
1,wells,10,wells,5.51313979285104
1,wells,10,austen,5.414463392893473
1,wells,10,fitzgerald,5.649090766906738
1,wells,10,twain,5.585207091437446
1,wells,11,train,5.285511946678161
1,wells,11,baum,5.172742048899333
1,wells,11,thompson,5.402402937412262
1,wells,11,dickens,5.17823322614034
1,wells,11,melville,5.369931750827366
1,wells,11,wells,5.1382068906511575
1,wells,11,austen,5.031860065460205
1,wells,11,fitzgerald,5.2831388791402185
1,wells,11,twain,5.21706830130683
1,wells,12,train,4.918435049057007
1,wells,12,baum,4.805373827616374
1,wells,12,thompson,5.053276300430298
1,wells,12,dickens,4.811010837554932
1,wells,12,melville,5.0173354678683815
1,wells,12,wells,4.770290953772409
1,wells,12,austen,4.654490121205648
1,wells,12,fitzgerald,4.923996861775716
1,wells,12,twain,4.854117181566027
1,wells,13,train,4.549722993373871
1,wells,13,baum,4.449594126807319
1,wells,13,thompson,4.715912520885468
1,wells,13,dickens,4.456297556559245
1,wells,13,melville,4.676329533259074
1,wells,13,wells,4.415615047727313
