seed,train_author,epochs_completed,loss_dataset,loss_value
3,wells,0,baum,10.77493397394816
3,wells,0,thompson,10.756590962409971
3,wells,0,dickens,10.769875965118407
3,wells,0,melville,10.765393032747156
3,wells,0,wells,10.752333777291437
3,wells,0,austen,10.774332046508787
3,wells,0,fitzgerald,10.77552547454834
3,wells,0,twain,10.7727895123618
3,wells,1,train,9.41559557914734
3,wells,1,baum,8.950215816497803
3,wells,1,thompson,8.853802800178528
3,wells,1,dickens,8.912533435821533
3,wells,1,melville,8.91371093076818
3,wells,1,wells,8.94537081037249
3,wells,1,austen,8.99197968569669
3,wells,1,fitzgerald,8.950382041931153
3,wells,1,twain,8.884720700127739
3,wells,2,train,8.716843962669373
3,wells,2,baum,8.531078656514486
3,wells,2,thompson,8.445551037788391
3,wells,2,dickens,8.499324398040772
3,wells,2,melville,8.502280291389017
3,wells,2,wells,8.539647102355957
3,wells,2,austen,8.581162019209428
3,wells,2,fitzgerald,8.532750225067138
3,wells,2,twain,8.47038381440299
3,wells,3,train,8.307830667495727
3,wells,3,baum,8.108301321665445
3,wells,3,thompson,8.035856068134308
3,wells,3,dickens,8.085623149871827
3,wells,3,melville,8.087481891407686
3,wells,3,wells,8.126944950648717
3,wells,3,austen,8.161568121476607
3,wells,3,fitzgerald,8.112145137786865
3,wells,3,twain,8.05187736238752
3,wells,4,train,7.86633186340332
3,wells,4,baum,7.658748149871826
3,wells,4,thompson,7.598929047584534
3,wells,4,dickens,7.643392848968506
3,wells,4,melville,7.645457436056698
3,wells,4,wells,7.686318125043597
3,wells,4,austen,7.714200193231756
3,wells,4,fitzgerald,7.664632987976074
3,wells,4,twain,7.605140021869114
3,wells,5,train,7.410652005672455
3,wells,5,baum,7.186789592107137
3,wells,5,thompson,7.139329612255096
3,wells,5,dickens,7.178120584487915
3,wells,5,melville,7.1811071564169495
3,wells,5,wells,7.223458358219692
3,wells,5,austen,7.244977907700972
3,wells,5,fitzgerald,7.194649648666382
3,wells,5,twain,7.135882292475019
3,wells,6,train,6.930412817001343
3,wells,6,baum,6.702003876368205
3,wells,6,thompson,6.665697872638702
3,wells,6,dickens,6.700338478088379
3,wells,6,melville,6.703747609082391
3,wells,6,wells,6.747109413146973
3,wells,6,austen,6.763642441142689
3,wells,6,fitzgerald,6.712040424346924
3,wells,6,twain,6.6529121569224765
3,wells,7,train,6.4390093922615055
3,wells,7,baum,6.215233405431111
3,wells,7,thompson,6.187586188316345
3,wells,7,dickens,6.218554744720459
3,wells,7,melville,6.223447743584128
3,wells,7,wells,6.268417085920062
3,wells,7,austen,6.2805422436107285
3,wells,7,fitzgerald,6.22708649635315
3,wells,7,twain,6.165848749024527
3,wells,8,train,5.952355349063874
3,wells,8,baum,5.735242128372192
3,wells,8,thompson,5.713759362697601
3,wells,8,dickens,5.743048944473267
3,wells,8,melville,5.749139561372645
3,wells,8,wells,5.795928001403809
3,wells,8,austen,5.806749257174405
3,wells,8,fitzgerald,5.749012517929077
3,wells,8,twain,5.684549331665039
3,wells,9,train,5.475142025947571
3,wells,9,baum,5.271656672159831
3,wells,9,thompson,5.253846287727356
3,wells,9,dickens,5.282316608428955
3,wells,9,melville,5.291156460257137
3,wells,9,wells,5.340193816593716
3,wells,9,austen,5.351463144475764
3,wells,9,fitzgerald,5.287106895446778
3,wells,9,twain,5.220027157238552
3,wells,10,train,5.015117526054382
3,wells,10,baum,4.834546248118083
3,wells,10,thompson,4.816799759864807
3,wells,10,dickens,4.846180953979492
3,wells,10,melville,4.85845173106474
3,wells,10,wells,4.908460344587054
3,wells,10,austen,4.925223914059726
3,wells,10,fitzgerald,4.851241731643677
3,wells,10,twain,4.779322334698269
3,wells,11,train,4.591547918319702
3,wells,11,baum,4.425551732381185
3,wells,11,thompson,4.406005620956421
3,wells,11,dickens,4.437579517364502
3,wells,11,melville,4.454015198875876
3,wells,11,wells,4.505935941423688
3,wells,11,austen,4.5287861824035645
3,wells,11,fitzgerald,4.443435096740723
3,wells,11,twain,4.36707820211138
3,wells,12,train,4.192663168907165
3,wells,12,baum,4.046786705652873
3,wells,12,thompson,4.0224964916706085
3,wells,12,dickens,4.057900495529175
3,wells,12,melville,4.078937839059269
3,wells,12,wells,4.133303846631732
3,wells,12,austen,4.164684555747292
3,wells,12,fitzgerald,4.065782618522644
3,wells,12,twain,3.984548441001347
3,wells,13,train,3.828413760662079
3,wells,13,baum,3.7051482597986856
3,wells,13,thompson,3.674573630094528
3,wells,13,dickens,3.7139665508270254
3,wells,13,melville,3.739735014298383
3,wells,13,wells,3.7972488403320312
3,wells,13,austen,3.838500499725342
3,wells,13,fitzgerald,3.7257734298706056
3,wells,13,twain,3.638275691441127
3,wells,14,train,3.496714597940445
3,wells,14,baum,3.399653474489848
3,wells,14,thompson,3.3620927035808563
3,wells,14,dickens,3.406498680114746
3,wells,14,melville,3.436413428362678
3,wells,14,wells,3.4972143173217773
3,wells,14,austen,3.5481246384707363
3,wells,14,fitzgerald,3.421737694740296
3,wells,14,twain,3.3284828066825867
3,wells,15,train,3.2040152728557585
3,wells,15,baum,3.1309914588928223
3,wells,15,thompson,3.085934400558472
3,wells,15,dickens,3.1354960060119628
3,wells,15,melville,3.169074703665341
3,wells,15,wells,3.2349674701690674
3,wells,15,austen,3.295015985315496
3,wells,15,fitzgerald,3.154546689987183
3,wells,15,twain,3.056466749736241
3,wells,16,train,2.9317023158073425
3,wells,16,baum,2.899663964907328
3,wells,16,thompson,2.8480650782585144
3,wells,16,dickens,2.9035825443267824
3,wells,16,melville,2.9389850392061123
3,wells,16,wells,3.009877749851772
3,wells,16,austen,3.078333031047474
3,wells,16,fitzgerald,2.925052762031555
3,wells,16,twain,2.821887791156769
3,wells,17,train,2.7201585829257966
3,wells,17,baum,2.702093482017517
3,wells,17,thompson,2.646710932254792
3,wells,17,dickens,2.706129298210144
3,wells,17,melville,2.743225616567276
3,wells,17,wells,2.8182506220681325
3,wells,17,austen,2.894497871398926
3,wells,17,fitzgerald,2.730292177200317
3,wells,17,twain,2.6220631514276778
3,wells,18,train,2.5357956171035765
3,wells,18,baum,2.53896431128184
3,wells,18,thompson,2.4813501834869385
3,wells,18,dickens,2.5446245670318604
3,wells,18,melville,2.582394193200504
3,wells,18,wells,2.662082944597517
3,wells,18,austen,2.74350305037065
3,wells,18,fitzgerald,2.5695332527160644
3,wells,18,twain,2.458527820450919
3,wells,19,train,2.3752631723880766
3,wells,19,baum,2.405425707499186
3,wells,19,thompson,2.347201019525528
3,wells,19,dickens,2.412520995140076
3,wells,19,melville,2.451203332227819
3,wells,19,wells,2.534811292375837
3,wells,19,austen,2.619282960891724
3,wells,19,fitzgerald,2.4378639221191407
3,wells,19,twain,2.324258344514029
3,wells,20,train,2.2521275341510774
3,wells,20,baum,2.29510768254598
3,wells,20,thompson,2.237317383289337
3,wells,20,dickens,2.304287476539612
3,wells,20,melville,2.343886263230268
3,wells,20,wells,2.4307589530944824
3,wells,20,austen,2.517168846997348
3,wells,20,fitzgerald,2.328030037879944
3,wells,20,twain,2.2154362371989658
3,wells,21,train,2.173041170835495
3,wells,21,baum,2.204808791478475
3,wells,21,thompson,2.149047270417213
3,wells,21,dickens,2.216120147705078
3,wells,21,melville,2.256977544111364
3,wells,21,wells,2.3451925005231584
3,wells,21,austen,2.434718608856201
3,wells,21,fitzgerald,2.2390294790267946
3,wells,21,twain,2.127682481493269
3,wells,22,train,2.0901464104652403
3,wells,22,baum,2.1302425066630044
3,wells,22,thompson,2.0768866389989853
3,wells,22,dickens,2.1433585476875305
3,wells,22,melville,2.1858389377593994
3,wells,22,wells,2.2760874884469167
3,wells,22,austen,2.365756793455644
3,wells,22,fitzgerald,2.163983643054962
3,wells,22,twain,2.055484861135483
3,wells,23,train,2.008409398794174
3,wells,23,baum,2.068600634733836
3,wells,23,thompson,2.019651710987091
