seed,train_author,epochs_completed,loss_dataset,loss_value
9,wells,0,baum,10.74736385345459
9,wells,0,thompson,10.716117699941
9,wells,0,dickens,10.745585015479554
9,wells,0,melville,10.70019245147705
9,wells,0,wells,10.71804392337799
9,wells,0,austen,10.739159440994262
9,wells,0,fitzgerald,10.748160934448242
9,wells,0,twain,10.739632892608643
9,wells,1,train,9.585273909568787
9,wells,1,baum,9.189217948913576
9,wells,1,thompson,9.207602341969809
9,wells,1,dickens,9.171852294434892
9,wells,1,melville,9.240151405334473
9,wells,1,wells,9.056955337524414
9,wells,1,austen,9.114991617202758
9,wells,1,fitzgerald,9.217296028137207
9,wells,1,twain,9.247292423248291
9,wells,2,train,8.900901365280152
9,wells,2,baum,8.73189926147461
9,wells,2,thompson,8.770901679992676
9,wells,2,dickens,8.723798548921625
9,wells,2,melville,8.819796085357666
9,wells,2,wells,8.602660059928894
9,wells,2,austen,8.66770076751709
9,wells,2,fitzgerald,8.762663841247559
9,wells,2,twain,8.801848316192627
9,wells,3,train,8.447045230865479
9,wells,3,baum,8.266695976257324
9,wells,3,thompson,8.322070280710856
9,wells,3,dickens,8.261904919401129
9,wells,3,melville,8.384812831878662
9,wells,3,wells,8.141177296638489
9,wells,3,austen,8.205594539642334
9,wells,3,fitzgerald,8.30007495880127
9,wells,3,twain,8.344811344146729
9,wells,4,train,7.96630243062973
9,wells,4,baum,7.770589160919189
9,wells,4,thompson,7.84125018119812
9,wells,4,dickens,7.767865952025068
9,wells,4,melville,7.917342662811279
9,wells,4,wells,7.646927416324615
9,wells,4,austen,7.711374115943909
9,wells,4,fitzgerald,7.804746437072754
9,wells,4,twain,7.8562651634216305
9,wells,5,train,7.4636742115020756
9,wells,5,baum,7.247829914093018
9,wells,5,thompson,7.334165175755818
9,wells,5,dickens,7.248564476662493
9,wells,5,melville,7.42359733581543
9,wells,5,wells,7.126244246959686
9,wells,5,austen,7.1909085512161255
9,wells,5,fitzgerald,7.286758422851562
9,wells,5,twain,7.34268708229065
9,wells,6,train,6.927769458293914
9,wells,6,baum,6.713419532775879
9,wells,6,thompson,6.814492146174113
9,wells,6,dickens,6.7169803761421365
9,wells,6,melville,6.915868282318115
9,wells,6,wells,6.589320600032806
9,wells,6,austen,6.655961418151856
9,wells,6,fitzgerald,6.756725978851319
9,wells,6,twain,6.817766332626343
9,wells,7,train,6.390233433246612
9,wells,7,baum,6.168498706817627
9,wells,7,thompson,6.286368687947591
9,wells,7,dickens,6.176275598241928
9,wells,7,melville,6.400237083435059
9,wells,7,wells,6.043405294418335
9,wells,7,austen,6.110934376716614
9,wells,7,fitzgerald,6.219786930084228
9,wells,7,twain,6.283383750915528
9,wells,8,train,5.844390547275543
9,wells,8,baum,5.6294340133667
9,wells,8,thompson,5.763115723927816
9,wells,8,dickens,5.641576077075714
9,wells,8,melville,5.889092445373535
9,wells,8,wells,5.500688433647156
9,wells,8,austen,5.570168089866638
9,wells,8,fitzgerald,5.688701248168945
9,wells,8,twain,5.755136251449585
9,wells,9,train,5.307203698158264
9,wells,9,baum,5.107005882263183
9,wells,9,thompson,5.256277720133464
9,wells,9,dickens,5.120843430782887
9,wells,9,melville,5.393356800079346
9,wells,9,wells,4.971599280834198
9,wells,9,austen,5.043369889259338
9,wells,9,fitzgerald,5.174499225616455
9,wells,9,twain,5.244056177139282
9,wells,10,train,4.787896502017975
9,wells,10,baum,4.613119411468506
9,wells,10,thompson,4.777088721593221
9,wells,10,dickens,4.626555726883259
9,wells,10,melville,4.923235654830933
9,wells,10,wells,4.46843945980072
9,wells,10,austen,4.542364382743836
9,wells,10,fitzgerald,4.690426063537598
9,wells,10,twain,4.76203351020813
9,wells,11,train,4.310526776313782
9,wells,11,baum,4.160861778259277
9,wells,11,thompson,4.339155673980713
9,wells,11,dickens,4.17275074695019
9,wells,11,melville,4.494779586791992
9,wells,11,wells,4.005498796701431
9,wells,11,austen,4.079882669448852
9,wells,11,fitzgerald,4.247907543182373
9,wells,11,twain,4.321451711654663
9,wells,12,train,3.86414675116539
9,wells,12,baum,3.7621674060821535
9,wells,12,thompson,3.953645547231039
9,wells,12,dickens,3.769420349851568
9,wells,12,melville,4.116190433502197
9,wells,12,wells,3.5920160114765167
9,wells,12,austen,3.667456758022309
9,wells,12,fitzgerald,3.859451389312744
9,wells,12,twain,3.93462598323822
9,wells,13,train,3.483096605539322
9,wells,13,baum,3.4213927745819093
9,wells,13,thompson,3.623751560846965
9,wells,13,dickens,3.424643506395056
9,wells,13,melville,3.792175531387329
9,wells,13,wells,3.23614901304245
9,wells,13,austen,3.3119295954704286
9,wells,13,fitzgerald,3.5310662746429444
9,wells,13,twain,3.605815863609314
9,wells,14,train,3.1502354383468627
9,wells,14,baum,3.1379098892211914
9,wells,14,thompson,3.3516720136006675
9,wells,14,dickens,3.137649561496491
9,wells,14,melville,3.5248008966445923
9,wells,14,wells,2.9382044672966003
9,wells,14,austen,3.0143930435180666
9,wells,14,fitzgerald,3.2601017475128176
9,wells,14,twain,3.333767795562744
9,wells,15,train,2.888166010379792
9,wells,15,baum,2.903399038314819
9,wells,15,thompson,3.1261066595713296
9,wells,15,dickens,2.898048603788335
9,wells,15,melville,3.3040449619293213
9,wells,15,wells,2.692879796028137
9,wells,15,austen,2.7676549434661863
9,wells,15,fitzgerald,3.0325313091278074
9,wells,15,twain,3.108204340934753
9,wells,16,train,2.6552679419517515
9,wells,16,baum,2.708021068572998
9,wells,16,thompson,2.940539002418518
9,wells,16,dickens,2.699417844731757
9,wells,16,melville,3.1232322454452515
9,wells,16,wells,2.4885710775852203
9,wells,16,austen,2.561886179447174
9,wells,16,fitzgerald,2.843712091445923
9,wells,16,twain,2.920574903488159
9,wells,17,train,2.4707461833953857
9,wells,17,baum,2.543794536590576
9,wells,17,thompson,2.785006165504456
9,wells,17,dickens,2.532024956764059
9,wells,17,melville,2.972863793373108
9,wells,17,wells,2.3187432885169983
9,wells,17,austen,2.3901704430580137
9,wells,17,fitzgerald,2.68325457572937
9,wells,17,twain,2.7625460386276246
9,wells,18,train,2.3200491964817047
9,wells,18,baum,2.4069884777069093
9,wells,18,thompson,2.656751871109009
9,wells,18,dickens,2.3934049048322312
9,wells,18,melville,2.850295662879944
9,wells,18,wells,2.179945945739746
9,wells,18,austen,2.24979989528656
9,wells,18,fitzgerald,2.547810363769531
9,wells,18,twain,2.632658123970032
9,wells,19,train,2.1928176522254943
9,wells,19,baum,2.2877466678619385
9,wells,19,thompson,2.547564109166464
9,wells,19,dickens,2.277519160128654
9,wells,19,melville,2.7505459785461426
9,wells,19,wells,2.061552911996841
9,wells,19,austen,2.131004309654236
9,wells,19,fitzgerald,2.4305911540985106
9,wells,19,twain,2.5203372478485107
9,wells,20,train,2.079313802719116
9,wells,20,baum,2.1898951530456543
9,wells,20,thompson,2.4527618090311685
9,wells,20,dickens,2.176271839344756
9,wells,20,melville,2.656077742576599
9,wells,20,wells,1.962208867073059
9,wells,20,austen,2.030500257015228
9,wells,20,fitzgerald,2.3302194118499755
9,wells,20,twain,2.422671008110046
9,wells,21,train,1.9846462249755856
9,wells,21,baum,2.1006011962890625
9,wells,21,thompson,2.3723039627075195
9,wells,21,dickens,2.092110996550702
9,wells,21,melville,2.58326107263565
9,wells,21,wells,1.8775528818368912
9,wells,21,austen,1.9449503481388093
9,wells,21,fitzgerald,2.242214727401733
9,wells,21,twain,2.338679552078247
9,wells,22,train,1.9022593826055527
9,wells,22,baum,2.030300760269165
9,wells,22,thompson,2.3057817022005715
9,wells,22,dickens,2.020395448867311
9,wells,22,melville,2.52069753408432
9,wells,22,wells,1.8066245764493944
9,wells,22,austen,1.8742828786373136
9,wells,22,fitzgerald,2.1685455322265623
9,wells,22,twain,2.270075595378876
9,wells,23,train,1.8394274950027465
9,wells,23,baum,1.966752243041992
9,wells,23,thompson,2.247696459293365
9,wells,23,dickens,1.9628205730559976
9,wells,23,melville,2.4672459959983826
9,wells,23,wells,1.7490280270576477
9,wells,23,austen,1.816027903556824
9,wells,23,fitzgerald,2.105913209915161
9,wells,23,twain,2.209465432167053
9,wells,24,train,1.7727787643671036
9,wells,24,baum,1.9116093873977664
9,wells,24,thompson,2.1973819533983865
9,wells,24,dickens,1.905993819236756
9,wells,24,melville,2.4196505546569824
9,wells,24,wells,1.6937166601419449
9,wells,24,austen,1.7610568821430206
9,wells,24,fitzgerald,2.047917366027832
9,wells,24,twain,2.1555459976196287
9,wells,25,train,1.7234952718019485
9,wells,25,baum,1.8660097122192385
9,wells,25,thompson,2.157165129979452
9,wells,25,dickens,1.862576477071072
9,wells,25,melville,2.3817686438560486
9,wells,25,wells,1.650634229183197
9,wells,25,austen,1.718900269269943
9,wells,25,fitzgerald,2.0000449895858763
9,wells,25,twain,2.1123812556266786
9,wells,26,train,1.6843311190605164
9,wells,26,baum,1.8234606027603149
9,wells,26,thompson,2.121638615926107
9,wells,26,dickens,1.8242161400774688
9,wells,26,melville,2.352664887905121
9,wells,26,wells,1.6109043061733246
9,wells,26,austen,1.6821862161159515
9,wells,26,fitzgerald,1.957238221168518
9,wells,26,twain,2.074162447452545
9,wells,27,train,1.6467217683792117
9,wells,27,baum,1.7854278802871704
9,wells,27,thompson,2.086239775021871
9,wells,27,dickens,1.7891694256599913
9,wells,27,melville,2.3183696269989014
9,wells,27,wells,1.5793825536966324
9,wells,27,austen,1.6472297132015228
